code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,left,ctr,rgt,far
95509,Puiseux-en-France,0003,9,336,138,128,41.07,38.28,0.0,0.0,61.72
95510,Puiseux-Pontoise,0001,10,372,174,163,46.77,38.04,61.96,0.0,0.0
95523,La Roche-Guyon,0001,1,303,172,159,56.77,37.11,62.89,0.0,0.0
95527,Roissy-en-France,0001,9,1555,606,534,38.97,36.89,0.0,0.0,63.11
95529,Ronquerolles,0001,1,663,353,320,53.24,40.62,59.38,0.0,0.0
95535,Sagy,0001,1,930,435,391,46.77,43.22,56.78,0.0,0.0
95539,Saint-Brice-sous-Forêt,0001,7,1066,388,360,36.4,31.94,68.06,0.0,0.0
95539,Saint-Brice-sous-Forêt,0002,7,919,329,304,35.8,50.66,49.34,0.0,0.0
95539,Saint-Brice-sous-Forêt,0003,7,1047,430,400,41.07,58.5,41.5,0.0,0.0
95539,Saint-Brice-sous-Forêt,0004,7,850,376,365,44.24,37.53,62.47,0.0,0.0
95539,Saint-Brice-sous-Forêt,0005,7,1165,436,417,37.42,37.89,62.11,0.0,0.0
95539,Saint-Brice-sous-Forêt,0006,7,981,408,383,41.59,45.69,54.31,0.0,0.0
95539,Saint-Brice-sous-Forêt,0007,7,972,318,295,32.72,68.47,31.53,0.0,0.0
95539,Saint-Brice-sous-Forêt,0008,7,921,335,321,36.37,36.14,63.86,0.0,0.0
95539,Saint-Brice-sous-Forêt,0009,7,978,392,373,40.08,47.45,52.55,0.0,0.0
95541,Saint-Clair-sur-Epte,0001,1,614,224,197,36.48,48.73,51.27,0.0,0.0
95543,Saint-Cyr-en-Arthies,0001,1,172,100,82,58.14,42.68,57.32,0.0,0.0
95554,Saint-Gervais,0001,1,701,404,367,57.63,38.42,61.58,0.0,0.0
95555,Saint-Gratien,0001,6,1181,667,627,56.48,34.13,65.87,0.0,0.0
95555,Saint-Gratien,0002,6,1286,644,604,50.08,39.57,60.43,0.0,0.0
95555,Saint-Gratien,0003,6,1419,467,453,32.91,61.37,38.63,0.0,0.0
95555,Saint-Gratien,0004,6,1051,588,567,55.95,22.4,77.6,0.0,0.0
95555,Saint-Gratien,0005,6,1307,455,431,34.81,74.25,25.75,0.0,0.0
95555,Saint-Gratien,0006,6,1362,646,608,47.43,48.03,51.97,0.0,0.0
95555,Saint-Gratien,0007,6,1265,503,476,39.76,68.07,31.93,0.0,0.0
95555,Saint-Gratien,0008,6,1009,447,413,44.3,58.6,41.4,0.0,0.0
95555,Saint-Gratien,0009,6,1100,462,437,42.0,47.14,52.86,0.0,0.0
95555,Saint-Gratien,0010,6,1181,561,529,47.5,44.42,55.58,0.0,0.0
95555,Saint-Gratien,0011,6,1231,568,522,46.14,43.87,56.13,0.0,0.0
95563,Saint-Leu-la-Forêt,0001,4,999,520,500,52.05,41.2,58.8,0.0,0.0
95563,Saint-Leu-la-Forêt,0002,4,1126,595,562,52.84,40.21,59.79,0.0,0.0
95563,Saint-Leu-la-Forêt,0003,4,1151,645,604,56.04,41.39,58.61,0.0,0.0
95563,Saint-Leu-la-Forêt,0004,4,1161,583,547,50.22,42.41,57.59,0.0,0.0
95563,Saint-Leu-la-Forêt,0005,4,1240,533,492,42.98,48.17,51.83,0.0,0.0
95563,Saint-Leu-la-Forêt,0006,4,1086,533,492,49.08,48.17,51.83,0.0,0.0
95563,Saint-Leu-la-Forêt,0007,4,1331,527,502,39.59,52.39,47.61,0.0,0.0
95563,Saint-Leu-la-Forêt,0008,4,1169,610,572,52.18,49.48,50.52,0.0,0.0
95563,Saint-Leu-la-Forêt,0009,4,1094,530,500,48.45,44.4,55.6,0.0,0.0
95563,Saint-Leu-la-Forêt,0010,4,1025,565,532,55.12,46.99,53.01,0.0,0.0
95566,Saint-Martin-du-Tertre,0001,2,916,354,324,38.65,54.63,45.37,0.0,0.0
95566,Saint-Martin-du-Tertre,0002,2,918,360,335,39.22,47.76,52.24,0.0,0.0
95572,Saint-Ouen-l'Aumône,0001,2,1063,443,412,41.67,54.13,45.87,0.0,0.0
95572,Saint-Ouen-l'Aumône,0002,2,1178,523,477,44.4,49.9,50.1,0.0,0.0
95572,Saint-Ouen-l'Aumône,0003,2,973,431,402,44.3,48.01,51.99,0.0,0.0
95572,Saint-Ouen-l'Aumône,0004,2,1119,393,369,35.12,66.67,33.33,0.0,0.0
95572,Saint-Ouen-l'Aumône,0005,2,1121,446,422,39.79,59.48,40.52,0.0,0.0
95572,Saint-Ouen-l'Aumône,0006,2,1227,514,469,41.89,61.62,38.38,0.0,0.0
95572,Saint-Ouen-l'Aumône,0007,2,1277,400,385,31.32,77.4,22.6,0.0,0.0
95572,Saint-Ouen-l'Aumône,0008,2,887,306,286,34.5,59.09,40.91,0.0,0.0
95572,Saint-Ouen-l'Aumône,0009,2,1217,502,468,41.25,59.62,40.38,0.0,0.0
95572,Saint-Ouen-l'Aumône,0010,2,1000,515,473,51.5,47.99,52.01,0.0,0.0
95572,Saint-Ouen-l'Aumône,0011,2,896,348,321,38.84,59.19,40.81,0.0,0.0
95572,Saint-Ouen-l'Aumône,0012,2,1131,401,378,35.46,60.05,39.95,0.0,0.0
95574,Saint-Prix,0001,4,810,401,372,49.51,34.14,65.86,0.0,0.0
95574,Saint-Prix,0002,4,881,339,318,38.48,62.26,37.74,0.0,0.0
95574,Saint-Prix,0003,4,866,448,415,51.73,26.02,73.98,0.0,0.0
95574,Saint-Prix,0004,4,857,424,395,49.47,39.75,60.25,0.0,0.0
95574,Saint-Prix,0005,4,832,439,415,52.76,22.17,77.83,0.0,0.0
95574,Saint-Prix,0006,4,561,278,264,49.55,40.91,59.09,0.0,0.0
95574,Saint-Prix,0007,4,781,410,393,52.5,30.53,69.47,0.0,0.0
95580,Saint-Witz,0001,9,911,433,349,47.53,32.38,0.0,0.0,67.62
95580,Saint-Witz,0002,9,1028,502,418,48.83,39.95,0.0,0.0,60.05
95582,Sannois,0001,6,1004,423,384,42.13,49.22,50.78,0.0,0.0
95582,Sannois,0002,6,1127,504,486,44.72,44.86,55.14,0.0,0.0
95582,Sannois,0003,6,784,329,306,41.96,58.82,41.18,0.0,0.0
95582,Sannois,0004,6,1072,429,397,40.02,52.39,47.61,0.0,0.0
95582,Sannois,0005,6,1214,617,573,50.82,45.55,54.45,0.0,0.0
95582,Sannois,0006,6,1101,485,460,44.05,48.7,51.3,0.0,0.0
95582,Sannois,0007,6,955,329,310,34.45,61.94,38.06,0.0,0.0
95582,Sannois,0008,6,772,235,222,30.44,67.12,32.88,0.0,0.0
95582,Sannois,0009,6,1225,499,477,40.73,65.83,34.17,0.0,0.0
95582,Sannois,0010,6,902,366,353,40.58,64.59,35.41,0.0,0.0
95582,Sannois,0011,6,1096,576,528,52.55,40.53,59.47,0.0,0.0
95582,Sannois,0012,6,1035,574,537,55.46,41.9,58.1,0.0,0.0
95582,Sannois,0013,6,864,482,451,55.79,42.35,57.65,0.0,0.0
95582,Sannois,0014,6,928,455,442,49.03,50.68,49.32,0.0,0.0
95582,Sannois,0015,6,827,462,443,55.86,47.86,52.14,0.0,0.0
95582,Sannois,0016,6,872,425,399,48.74,52.38,47.62,0.0,0.0
95582,Sannois,0017,6,785,312,296,39.75,61.82,38.18,0.0,0.0
95584,Santeuil,0001,1,499,272,242,54.51,45.45,54.55,0.0,0.0
95585,Sarcelles,0004,7,782,279,264,35.68,52.65,47.35,0.0,0.0
95585,Sarcelles,0005,7,932,237,231,25.43,79.22,20.78,0.0,0.0
95585,Sarcelles,0009,7,1227,419,397,34.15,74.06,25.94,0.0,0.0
95585,Sarcelles,0016,7,770,251,241,32.6,74.69,25.31,0.0,0.0
95585,Sarcelles,0018,7,690,205,196,29.71,75.51,24.49,0.0,0.0
95585,Sarcelles,0020,7,1025,325,307,31.71,72.64,27.36,0.0,0.0
95585,Sarcelles,0021,7,825,286,275,34.67,32.36,67.64,0.0,0.0
95585,Sarcelles,0022,7,877,301,292,34.32,25.68,74.32,0.0,0.0
