code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,left,ctr,rgt,far
95002,Ableiges,1,1,389,207,207,53.21,28.5,36.23,19.32,14.98
95002,Ableiges,2,1,351,167,164,47.58,19.51,40.24,16.46,21.34
95008,Aincourt,1,1,571,280,279,49.04,20.79,40.86,20.43,17.2
95011,Ambleville,1,1,285,156,153,54.74,22.22,35.95,20.26,21.57
95012,Amenucourt,1,1,160,74,72,46.25,13.89,23.61,23.61,36.11
95014,Andilly,1,6,758,369,360,48.68,17.78,41.39,25.56,10.56
95014,Andilly,2,6,778,440,436,56.56,8.49,42.43,36.01,8.03
95018,Argenteuil,1,5,855,374,365,43.74,41.64,27.67,18.63,11.23
95018,Argenteuil,2,5,857,429,426,50.06,42.02,34.51,14.08,5.63
95018,Argenteuil,3,5,829,398,390,48.01,40.77,29.74,18.46,7.44
95018,Argenteuil,4,5,931,410,402,44.04,37.06,25.87,24.38,8.71
95018,Argenteuil,5,5,1192,556,535,46.64,47.29,23.36,17.57,8.04
95018,Argenteuil,6,5,1150,493,471,42.87,53.5,22.08,11.89,8.07
95018,Argenteuil,7,5,891,356,352,39.96,41.76,31.25,17.05,6.53
95018,Argenteuil,8,5,961,437,426,45.47,46.01,26.53,13.38,8.45
95018,Argenteuil,9,5,828,364,359,43.96,37.88,35.1,15.32,7.8
95018,Argenteuil,10,5,1167,536,523,45.93,39.96,35.56,11.47,8.8
95018,Argenteuil,11,5,1038,503,498,48.46,30.32,36.95,19.88,10.84
95018,Argenteuil,12,5,1228,522,513,42.51,34.5,37.62,16.57,8.58
95018,Argenteuil,13,5,1075,506,501,47.07,35.13,35.73,20.36,6.39
95018,Argenteuil,14,5,891,318,310,35.69,46.45,24.52,7.1,17.74
95018,Argenteuil,15,5,843,278,272,32.98,44.49,25.37,13.97,8.46
95018,Argenteuil,16,5,1094,365,358,33.36,61.45,9.5,5.03,15.64
95018,Argenteuil,17,5,1077,439,429,40.76,41.26,30.07,13.05,11.89
95018,Argenteuil,18,5,1206,450,444,37.31,49.55,22.07,12.61,11.26
95018,Argenteuil,19,5,1220,488,485,40.0,38.56,37.11,14.23,7.42
95018,Argenteuil,20,5,1149,446,440,38.82,38.64,33.86,13.86,11.36
95018,Argenteuil,21,5,1063,473,466,44.5,35.62,34.33,15.67,12.23
95018,Argenteuil,22,5,1088,407,389,37.41,42.16,28.53,14.14,13.11
95018,Argenteuil,23,5,1174,544,531,46.34,32.02,37.1,19.96,8.47
95018,Argenteuil,24,5,1049,402,395,38.32,38.73,29.37,19.24,10.38
95018,Argenteuil,25,5,1056,424,415,40.15,28.43,28.19,30.84,10.84
95018,Argenteuil,26,5,1179,525,517,44.53,27.66,31.72,26.11,12.77
95018,Argenteuil,27,5,1182,616,608,52.12,22.37,29.77,37.5,9.05
95018,Argenteuil,28,5,1263,417,403,33.02,64.52,13.9,9.68,9.43
95018,Argenteuil,29,5,1170,395,379,33.76,56.46,22.96,12.14,4.49
95018,Argenteuil,30,5,919,338,326,36.78,56.75,22.39,8.28,7.67
95018,Argenteuil,31,5,935,299,288,31.98,55.9,25.0,6.6,9.72
95018,Argenteuil,32,5,1139,392,381,34.42,63.52,18.9,8.92,6.82
95018,Argenteuil,33,5,1266,435,415,34.36,64.82,20.24,6.51,3.86
95018,Argenteuil,34,5,1103,421,410,38.17,38.78,30.49,14.63,13.17
95018,Argenteuil,35,5,1090,362,352,33.21,54.83,22.73,11.65,7.67
95018,Argenteuil,36,5,920,364,355,39.57,57.46,22.25,10.14,7.61
95018,Argenteuil,37,5,1190,473,463,39.75,39.31,28.94,22.03,7.78
95018,Argenteuil,38,5,1204,403,387,33.47,48.84,28.42,11.63,8.27
95018,Argenteuil,39,5,881,341,337,38.71,44.21,27.6,15.43,10.98
95018,Argenteuil,40,5,919,331,323,36.02,36.53,34.98,12.69,12.38
95018,Argenteuil,41,5,1256,406,398,32.32,47.24,27.39,12.81,9.05
95018,Argenteuil,42,5,1133,370,365,32.66,44.66,31.51,7.67,14.79
95018,Argenteuil,43,5,1059,361,354,34.09,38.7,33.33,15.54,9.6
95018,Argenteuil,44,5,1000,369,364,36.9,48.9,23.35,12.09,14.56
95018,Argenteuil,45,5,1222,466,456,38.13,43.2,32.46,12.5,9.87
95018,Argenteuil,46,5,1004,376,368,37.45,46.2,32.07,9.78,8.97
95018,Argenteuil,47,5,1219,491,484,40.28,45.04,28.72,11.16,11.57
95018,Argenteuil,48,5,1303,532,524,40.83,33.59,39.89,15.46,8.4
95018,Argenteuil,49,5,1269,470,462,37.04,43.29,31.6,14.94,7.58
95018,Argenteuil,50,5,1121,488,470,43.53,42.34,32.34,11.91,5.96
95019,Arnouville,1,8,1030,390,378,37.86,53.97,17.99,0.0,19.31
95019,Arnouville,2,8,920,395,378,42.93,47.62,16.4,0.0,19.84
95019,Arnouville,3,8,1259,527,506,41.86,49.6,17.79,0.0,25.69
95019,Arnouville,4,8,1084,366,349,33.76,48.71,14.9,0.0,16.62
95019,Arnouville,5,8,1050,384,368,36.57,57.88,14.4,0.0,19.02
95019,Arnouville,6,8,1153,457,444,39.64,57.66,16.67,0.0,15.99
95019,Arnouville,7,8,1246,489,478,39.25,53.56,21.76,0.0,14.85
95023,Arronville,1,1,502,242,240,48.21,15.83,40.83,19.58,23.33
95024,Arthies,1,1,225,120,118,53.33,23.73,25.42,28.81,21.19
95026,Asnières-sur-Oise,1,2,774,366,363,47.29,21.21,41.32,17.63,17.63
95026,Asnières-sur-Oise,2,2,648,364,357,56.17,23.81,33.05,22.13,18.21
95026,Asnières-sur-Oise,3,2,538,288,280,53.53,18.93,27.14,24.29,28.93
95028,Attainville,1,7,1272,559,551,43.95,21.05,36.48,22.87,18.33
95039,Auvers-sur-Oise,1,1,1105,605,595,54.75,33.61,37.14,14.96,12.94
95039,Auvers-sur-Oise,2,1,1107,563,558,50.86,32.62,37.46,12.37,16.13
95039,Auvers-sur-Oise,3,1,914,540,526,59.08,28.33,40.3,17.87,11.41
95039,Auvers-sur-Oise,4,1,988,513,505,51.92,30.5,35.45,16.83,16.24
95039,Auvers-sur-Oise,5,1,673,374,368,55.57,27.45,43.75,12.77,14.13
95039,Auvers-sur-Oise,6,1,611,324,320,53.03,29.69,42.5,15.62,11.56
95040,Avernes,1,1,618,331,328,53.56,23.17,42.38,17.38,15.85
95042,Baillet-en-France,1,2,1506,761,743,50.53,21.4,33.38,28.4,15.34
95046,Banthelu,1,1,94,55,53,58.51,22.64,28.3,28.3,20.75
95051,Beauchamp,1,3,679,382,378,56.26,18.78,41.27,19.84,15.61
95051,Beauchamp,2,3,762,404,401,53.02,24.69,38.9,18.7,12.47
95051,Beauchamp,3,3,839,466,459,55.54,22.66,40.52,18.95,12.64
95051,Beauchamp,4,3,650,342,338,52.62,20.41,37.57,27.81,10.06
95051,Beauchamp,5,3,830,403,391,48.55,21.23,37.34,18.67,16.88
95051,Beauchamp,6,3,796,383,377,48.12,23.08,42.44,14.85,11.41
95051,Beauchamp,7,3,821,454,451,55.3,17.29,46.78,19.29,13.75
95051,Beauchamp,8,3,775,413,407,53.29,22.11,41.28,17.2,16.46
95052,Beaumont-sur-Oise,1,1,1148,491,474,42.77,29.11,31.65,10.55,26.16
95052,Beaumont-sur-Oise,2,1,1109,538,515,48.51,28.16,34.37,12.04,22.52
95052,Beaumont-sur-Oise,3,1,990,466,451,47.07,26.61,34.37,16.19,20.4
95052,Beaumont-sur-Oise,4,1,960,414,405,43.12,29.38,32.59,10.86,25.19
95052,Beaumont-sur-Oise,5,1,1203,415,401,34.5,26.68,39.15,6.73,23.19
95054,Le Bellay-en-Vexin,1,1,159,101,100,63.52,20.0,34.0,17.0,28.0
95055,Bellefontaine,1,9,300,125,120,41.67,30.83,33.33,12.5,20.0
95056,Belloy-en-France,1,2,1296,647,633,49.92,17.69,32.7,25.43,22.43
95058,Bernes-sur-Oise,1,1,768,392,373,51.04,28.95,31.9,13.4,23.86
95058,Bernes-sur-Oise,2,1,784,348,333,44.39,24.32,30.03,12.91,29.73
95059,Berville,1,1,265,151,149,56.98,25.5,42.95,21.48,10.07
95060,Bessancourt,1,3,1006,497,490,49.4,19.18,42.65,20.0,14.08
95060,Bessancourt,2,3,1005,530,523,52.74,25.81,41.11,16.06,10.33
95060,Bessancourt,3,3,944,330,322,34.96,32.3,33.23,9.63,18.63
95060,Bessancourt,4,3,969,491,480,50.67,24.38,41.25,14.58,16.25
95060,Bessancourt,5,3,932,396,382,42.49,26.7,35.34,14.14,20.16
95061,Béthemont-la-Forêt,1,3,326,188,187,57.67,23.53,32.62,14.97,21.39
95063,Bezons,1,5,824,365,357,44.3,45.94,29.41,8.12,12.61
95063,Bezons,2,5,777,256,246,32.95,47.97,33.33,7.72,8.94
95063,Bezons,3,5,857,320,316,37.34,40.82,36.71,7.91,9.81
95063,Bezons,4,5,798,352,347,44.11,34.01,40.35,13.26,10.09
95063,Bezons,5,5,742,269,264,36.25,57.58,23.86,5.3,10.98
95063,Bezons,6,5,960,401,391,41.77,43.22,31.97,10.23,10.74
95063,Bezons,7,5,903,431,421,47.73,36.1,36.58,13.3,11.88
95063,Bezons,8,5,888,448,435,50.45,34.02,38.62,14.48,10.8
95063,Bezons,9,5,907,325,320,35.83,48.75,25.94,10.0,13.12
95063,Bezons,10,5,885,323,318,36.5,50.0,31.45,4.72,11.32
95063,Bezons,11,5,833,282,280,33.85,42.86,29.64,12.5,13.57
95063,Bezons,12,5,925,372,364,40.22,40.66,34.07,10.44,11.26
95063,Bezons,13,5,954,392,382,41.09,50.0,25.65,7.33,14.66
95063,Bezons,14,5,809,364,355,44.99,38.87,33.24,11.27,11.27
95063,Bezons,15,5,938,344,335,36.67,42.99,32.84,9.25,11.34
95063,Bezons,16,5,829,337,335,40.65,38.51,37.01,13.13,8.66
95063,Bezons,17,5,796,291,282,36.56,45.39,34.04,4.61,12.06
95074,Boisemont,1,10,583,324,320,55.57,21.25,43.75,19.69,9.06
95078,Boissy-l'Aillerie,1,10,1255,673,659,53.63,26.1,36.72,17.45,14.11
95088,Bonneuil-en-France,1,8,492,182,174,36.99,55.17,12.64,0.0,24.71
95091,Bouffémont,1,7,855,382,378,44.68,32.01,35.19,19.58,12.17
95091,Bouffémont,2,7,929,367,361,39.5,38.78,31.86,14.68,11.91
95091,Bouffémont,3,7,670,401,395,59.85,27.34,40.25,23.04,8.61
95091,Bouffémont,4,7,846,411,403,48.58,35.98,36.23,15.38,10.42
95091,Bouffémont,5,7,790,410,410,51.9,35.12,39.27,17.8,7.07
95094,Bouqueval,1,9,196,99,94,50.51,14.89,25.53,23.4,24.47
95101,Bray-et-Lû,1,1,623,297,288,47.67,18.06,35.76,10.42,34.03
95102,Bréançon,1,1,305,187,185,61.31,13.51,38.92,25.41,21.08
95110,Brignancourt,1,1,168,95,90,56.55,26.67,31.11,21.11,17.78
95116,Bruyères-sur-Oise,1,1,859,281,278,32.71,21.94,43.53,6.47,25.18
95116,Bruyères-sur-Oise,2,1,932,355,343,38.09,27.7,38.78,8.45,21.57
95116,Bruyères-sur-Oise,3,1,865,320,309,36.99,24.6,36.57,11.97,25.24
95119,Buhy,1,1,226,106,103,46.9,11.65,46.6,14.56,22.33
95120,Butry-sur-Oise,1,1,733,377,375,51.43,23.47,39.47,14.67,21.6
95120,Butry-sur-Oise,2,1,885,451,446,50.96,26.91,36.77,15.47,19.51
95127,Cergy,18,2,781,465,461,59.54,30.59,35.14,24.51,8.46
95127,Cergy,19,2,987,482,481,48.83,23.28,47.4,20.37,7.69
95127,Cergy,20,2,796,448,442,56.28,25.79,40.72,20.36,9.95
95127,Cergy,21,2,1265,507,491,40.08,42.36,32.18,10.18,11.0
95127,Cergy,22,2,641,260,257,40.56,31.52,43.58,15.95,8.17
95127,Cergy,23,2,627,230,222,36.68,43.24,38.74,6.76,9.01
95127,Cergy,24,2,867,337,331,38.87,43.2,33.53,11.48,10.27
95127,Cergy,25,2,863,295,290,34.18,39.31,32.41,16.9,8.97
95127,Cergy,26,2,624,335,329,53.69,35.26,34.65,21.58,6.38
95127,Cergy,27,2,878,443,437,50.46,28.15,45.08,16.25,6.86
95127,Cergy,31,2,949,454,448,47.84,35.27,41.52,13.62,7.59
95127,Cergy,1,10,1139,307,295,26.95,50.17,26.44,7.8,6.44
95127,Cergy,2,10,1046,391,384,37.38,40.89,36.2,7.81,7.81
95127,Cergy,3,10,659,221,213,33.54,39.44,36.15,7.98,8.92
95127,Cergy,4,10,790,275,263,34.81,43.35,30.8,6.84,8.75
95127,Cergy,5,10,989,379,367,38.32,38.15,34.88,7.9,10.35
95127,Cergy,6,10,1125,337,328,29.96,51.22,24.09,3.96,9.15
95127,Cergy,7,10,1118,368,361,32.92,44.04,29.92,5.54,10.53
95127,Cergy,8,10,1070,431,420,40.28,37.86,36.9,7.38,10.48
95127,Cergy,9,10,1091,548,540,50.23,26.48,48.15,13.89,4.07
95127,Cergy,10,10,1290,626,615,48.53,29.27,47.15,14.63,4.72
95127,Cergy,11,10,1172,528,522,45.05,37.36,40.42,11.3,5.36
95127,Cergy,12,10,1067,286,275,26.8,51.64,27.64,6.55,6.18
95127,Cergy,13,10,1228,502,490,40.88,37.35,37.14,10.0,7.96
95127,Cergy,14,10,847,315,314,37.19,40.13,33.12,12.1,7.96
95127,Cergy,15,10,835,286,280,34.25,45.0,31.79,5.0,10.71
95127,Cergy,16,10,899,304,301,33.82,44.19,29.24,6.31,7.97
95127,Cergy,17,10,963,453,445,47.04,38.65,32.36,12.36,10.11
95127,Cergy,28,10,1568,636,623,40.56,38.84,38.04,8.03,8.03
95127,Cergy,29,10,1037,303,296,29.22,55.41,29.73,2.7,5.41
95127,Cergy,30,10,1176,490,483,41.67,37.68,37.68,10.14,6.83
95127,Cergy,32,10,750,253,245,33.73,38.78,35.92,9.8,9.8
95127,Cergy,33,10,628,241,238,38.38,44.96,35.29,7.14,10.08
95134,Champagne-sur-Oise,1,1,898,447,440,49.78,16.59,50.23,15.23,16.14
95134,Champagne-sur-Oise,2,1,903,405,400,44.85,22.0,41.25,14.25,21.0
95134,Champagne-sur-Oise,3,1,932,355,344,38.09,28.2,34.88,12.21,20.93
95134,Champagne-sur-Oise,4,1,934,401,393,42.93,23.41,38.68,11.2,21.88
95139,La Chapelle-en-Vexin,1,1,236,123,118,52.12,16.1,35.59,23.73,22.03
95141,Charmont,1,1,16,13,13,81.25,15.38,38.46,23.08,15.38
95142,Chars,1,1,1308,620,606,47.4,26.73,33.33,14.52,24.09
95144,Châtenay-en-France,1,9,55,32,32,58.18,6.25,59.38,21.88,12.5
95149,Chaumontel,1,9,1416,669,661,47.25,20.27,36.76,15.73,23.15
95149,Chaumontel,2,9,1281,596,586,46.53,20.82,38.91,13.14,24.91
95150,Chaussy,1,1,455,246,243,54.07,30.45,30.86,18.93,18.11
95151,Chauvry,1,3,219,117,115,53.42,19.13,40.87,17.39,20.87
95154,Chennevières-lès-Louvres,1,9,202,91,89,45.05,17.98,22.47,26.97,28.09
95157,Chérence,1,1,155,110,109,70.97,11.93,33.03,35.78,18.35
95166,Cléry-en-Vexin,1,1,340,176,175,51.76,18.86,42.86,18.86,14.86
95169,Commeny,1,1,352,193,189,54.83,23.81,35.98,24.87,14.29
95170,Condécourt,1,1,378,226,222,59.79,18.47,40.54,24.32,14.41
95176,Cormeilles-en-Parisis,1,3,753,361,358,47.94,25.42,34.36,24.3,10.89
95176,Cormeilles-en-Parisis,2,3,934,511,509,54.71,20.83,39.49,24.36,10.02
95176,Cormeilles-en-Parisis,3,3,952,429,420,45.06,30.48,38.1,18.33,5.95
95176,Cormeilles-en-Parisis,4,3,918,478,473,52.07,26.22,34.25,25.58,9.51
95176,Cormeilles-en-Parisis,5,3,879,480,474,54.61,21.1,39.03,23.42,12.03
95176,Cormeilles-en-Parisis,6,3,1041,545,538,52.35,18.96,48.7,18.59,8.74
95176,Cormeilles-en-Parisis,7,3,902,441,436,48.89,23.85,37.39,27.52,8.03
95176,Cormeilles-en-Parisis,8,3,936,497,496,53.1,16.13,42.34,29.03,8.27
95176,Cormeilles-en-Parisis,9,3,981,514,509,52.4,14.93,40.28,27.9,10.81
95176,Cormeilles-en-Parisis,10,3,992,558,553,56.25,23.69,36.53,25.86,9.58
95176,Cormeilles-en-Parisis,11,3,842,465,458,55.23,22.49,42.58,23.36,7.42
95176,Cormeilles-en-Parisis,12,3,927,424,415,45.74,29.16,33.25,23.61,7.71
95176,Cormeilles-en-Parisis,13,3,911,415,410,45.55,19.02,38.78,20.24,13.9
95176,Cormeilles-en-Parisis,14,3,877,440,436,50.17,19.04,41.74,25.46,10.32
95176,Cormeilles-en-Parisis,15,3,1118,525,516,46.96,17.25,42.44,26.74,9.11
95176,Cormeilles-en-Parisis,16,3,952,429,427,45.06,18.27,41.69,24.12,11.24
95176,Cormeilles-en-Parisis,17,3,906,423,418,46.69,19.86,35.89,25.6,12.44
95177,Cormeilles-en-Vexin,1,1,832,412,402,49.52,21.89,30.85,26.62,19.65
95181,Courcelles-sur-Viosne,1,1,220,135,133,61.36,27.82,32.33,27.07,11.28
95183,Courdimanche,1,10,863,429,425,49.71,36.71,40.94,8.94,9.88
95183,Courdimanche,2,10,788,379,372,48.1,36.29,40.32,13.98,3.76
95183,Courdimanche,3,10,949,406,400,42.78,43.75,29.25,9.5,11.25
95183,Courdimanche,4,10,852,500,498,58.69,22.49,43.98,20.48,7.03
95183,Courdimanche,5,10,870,376,368,43.22,35.87,37.5,9.51,9.78
95197,Deuil-la-Barre,1,6,993,491,480,49.45,23.54,40.42,18.33,12.71
95197,Deuil-la-Barre,2,6,1006,506,500,50.3,21.6,50.6,16.6,8.2
95197,Deuil-la-Barre,3,6,997,438,434,43.93,25.35,38.48,20.97,11.06
95197,Deuil-la-Barre,4,6,1037,493,488,47.54,27.46,42.42,19.06,7.79
95197,Deuil-la-Barre,5,6,779,346,339,44.42,21.83,39.82,25.66,7.96
95197,Deuil-la-Barre,6,6,1109,515,512,46.44,21.68,41.21,18.55,12.5
95197,Deuil-la-Barre,7,6,1061,494,488,46.56,29.3,36.07,19.88,10.86
95197,Deuil-la-Barre,8,6,1026,532,524,51.85,22.14,46.95,19.08,8.21
95197,Deuil-la-Barre,9,6,976,384,376,39.34,27.39,39.63,17.29,12.5
95197,Deuil-la-Barre,10,6,1219,438,426,35.93,32.16,41.08,12.68,12.68
95197,Deuil-la-Barre,11,6,1271,383,376,30.13,31.91,42.55,14.1,8.24
95197,Deuil-la-Barre,12,6,1250,578,574,46.24,24.74,41.11,21.78,9.23
95197,Deuil-la-Barre,13,6,1051,504,496,47.95,25.4,42.94,19.96,9.27
95197,Deuil-la-Barre,14,6,1123,527,517,46.93,28.24,39.85,20.5,7.54
95199,Domont,1,7,897,514,506,57.3,17.98,32.61,38.74,9.88
95199,Domont,2,7,1063,458,452,43.09,24.78,30.09,33.63,9.96
95199,Domont,3,7,791,404,398,51.07,21.86,33.67,35.43,8.04
95199,Domont,4,7,1040,535,528,51.44,17.61,30.49,41.1,10.42
95199,Domont,5,7,874,469,466,53.66,21.46,32.83,32.83,12.23
95199,Domont,6,7,1216,631,627,51.89,22.01,32.85,32.85,11.32
95199,Domont,7,7,1523,640,633,42.02,24.01,27.96,31.75,15.32
95199,Domont,8,7,746,395,391,52.95,23.53,38.62,29.92,7.16
95199,Domont,9,7,825,491,490,59.52,22.65,29.59,38.37,8.98
95199,Domont,10,7,1044,464,450,44.44,21.78,28.22,35.33,14.0
95203,Eaubonne,1,4,1294,670,664,51.78,26.36,42.02,15.81,11.14
95203,Eaubonne,2,4,1032,508,499,49.22,26.85,42.89,20.04,6.41
95203,Eaubonne,3,4,1236,712,700,57.61,24.43,43.71,17.86,9.14
95203,Eaubonne,4,4,1199,643,640,53.63,22.66,49.06,17.03,7.34
95203,Eaubonne,5,4,1300,796,791,61.23,23.14,46.14,19.47,7.21
95203,Eaubonne,6,4,1245,610,601,49.0,26.46,44.59,13.48,9.65
95203,Eaubonne,7,4,1155,456,445,39.48,28.76,35.51,15.73,14.16
95203,Eaubonne,8,4,925,454,444,49.08,20.72,46.4,17.57,12.39
95203,Eaubonne,9,4,1441,554,543,38.45,23.94,38.86,18.42,14.0
95203,Eaubonne,10,4,1331,553,546,41.55,26.74,45.24,14.84,10.99
95203,Eaubonne,11,4,1062,535,524,50.38,25.19,39.31,21.95,9.92
95203,Eaubonne,12,4,1315,711,690,54.07,23.77,37.68,21.59,12.03
95203,Eaubonne,13,4,858,473,468,55.13,23.08,50.85,17.52,4.49
95203,Eaubonne,14,4,871,419,414,48.11,27.05,41.06,14.25,14.01
95205,Ecouen,1,7,1496,637,626,42.58,37.22,31.31,17.41,12.94
95205,Ecouen,2,7,994,475,468,47.79,32.69,38.89,11.97,14.74
95205,Ecouen,3,7,1399,580,574,41.46,42.68,30.31,11.5,12.89
95205,Ecouen,4,7,1130,544,539,48.14,36.73,33.58,20.04,9.65
