code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,eu_left,eu_ctr,eu_lr,eu_rn
95592,Seraincourt,1,1,983,547,536,55.65,25.75,14.93,5.6,46.08
95594,Seugy,1,2,774,456,448,58.91,22.99,14.96,6.7,47.1
95598,Soisy-sous-Montmorency,1,6,1439,792,770,55.04,32.08,16.36,13.25,31.95
95598,Soisy-sous-Montmorency,2,6,1286,686,677,53.34,37.08,17.73,11.67,28.66
95598,Soisy-sous-Montmorency,3,6,1506,793,775,52.66,34.84,15.61,9.42,32.39
95598,Soisy-sous-Montmorency,4,6,1323,692,683,52.31,36.02,21.23,10.25,26.5
95598,Soisy-sous-Montmorency,5,6,982,354,344,36.05,50.58,11.05,4.07,27.03
95598,Soisy-sous-Montmorency,6,6,1265,769,757,60.79,34.21,18.49,11.23,30.52
95598,Soisy-sous-Montmorency,7,6,1070,547,541,51.12,41.77,11.28,10.72,26.99
95598,Soisy-sous-Montmorency,8,6,1003,410,397,40.88,42.82,14.61,3.78,28.21
95598,Soisy-sous-Montmorency,9,6,1298,587,576,45.22,36.81,17.71,8.85,30.03
95598,Soisy-sous-Montmorency,10,6,825,296,288,35.88,57.64,5.21,2.78,23.96
95604,Survilliers,1,9,1467,695,668,47.38,27.54,13.02,6.89,45.81
95604,Survilliers,2,9,978,501,488,51.23,35.66,9.63,3.89,45.08
95607,Taverny,1,3,1054,582,576,55.22,43.4,12.33,6.77,29.51
95607,Taverny,2,3,882,497,487,56.35,38.4,14.78,7.6,32.44
95607,Taverny,3,3,741,430,422,58.03,43.36,13.27,8.06,30.33
95607,Taverny,4,3,1114,632,617,56.73,41.17,13.45,8.91,28.36
95607,Taverny,5,3,1149,639,627,55.61,35.57,17.07,9.73,28.87
95607,Taverny,6,3,1036,435,427,41.99,52.93,11.24,3.98,24.36
95607,Taverny,7,3,1086,491,483,45.21,43.69,9.32,4.35,34.16
95607,Taverny,8,3,1105,598,586,54.12,44.88,13.14,6.66,28.5
95607,Taverny,9,3,994,475,461,47.79,42.73,8.46,4.56,36.88
95607,Taverny,10,3,1086,616,604,56.72,34.93,14.9,5.79,37.91
95607,Taverny,11,3,1013,510,499,50.35,44.89,10.22,3.01,33.47
95607,Taverny,12,3,1048,577,562,55.06,37.37,14.23,9.43,32.21
95607,Taverny,13,3,903,344,334,38.1,57.78,9.88,2.4,22.46
95607,Taverny,14,3,856,418,403,48.83,44.42,9.68,4.22,30.77
95607,Taverny,15,3,644,354,350,54.97,36.29,16.29,7.14,32.57
95607,Taverny,16,3,1068,562,550,52.62,45.45,9.64,4.0,32.91
95607,Taverny,17,3,1078,637,627,59.09,41.31,12.6,9.73,28.71
95607,Taverny,18,3,874,481,471,55.03,40.76,13.38,6.16,33.76
95610,Théméricourt,1,1,223,138,137,61.88,35.77,16.79,5.11,35.04
95611,Theuville,1,1,20,13,13,65.0,0.0,7.69,23.08,53.85
95612,Le Thillay,1,9,847,346,340,40.85,37.35,8.53,4.41,42.94
95612,Le Thillay,2,9,807,334,329,41.39,38.3,8.81,2.43,44.38
95612,Le Thillay,3,9,841,350,343,41.62,32.07,5.83,4.96,51.02
95625,Us,1,1,961,572,557,59.52,28.55,9.87,6.1,45.96
