code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,pr_left,pr_macron,pr_pec,pr_lepen,pr_zem,pr_other
95002,Ableiges,0001,1,368,312,305,84.78,29.51,26.23,2.95,23.61,9.51,8.2
95002,Ableiges,0002,1,338,294,281,86.98,24.91,28.11,3.91,28.47,9.96,4.63
95008,Aincourt,0001,1,560,475,469,84.82,27.29,25.16,6.4,28.57,8.32,4.26
95011,Ambleville,0001,1,305,247,246,80.98,27.64,23.58,5.28,29.67,8.94,4.88
95012,Amenucourt,0001,1,154,118,117,76.62,22.22,18.8,4.27,36.75,14.53,3.42
95014,Andilly,0001,6,719,565,555,78.58,30.81,32.79,5.95,15.5,11.35,3.6
95014,Andilly,0002,6,787,648,630,82.34,20.32,41.75,11.75,13.33,9.37,3.49
95018,Argenteuil,0001,5,771,545,537,70.69,51.21,21.04,3.91,14.34,7.64,1.86
95018,Argenteuil,0002,5,883,676,665,76.56,55.04,23.61,4.36,9.02,3.91,4.06
95018,Argenteuil,0003,5,776,580,573,74.74,49.56,23.73,2.62,14.49,7.16,2.44
95018,Argenteuil,0004,5,886,641,629,72.35,49.76,22.89,5.09,16.53,3.97,1.75
95018,Argenteuil,0005,5,1110,749,741,67.48,55.33,18.76,3.37,15.65,4.59,2.29
95018,Argenteuil,0006,5,1074,759,738,70.67,61.65,19.65,2.17,10.84,3.79,1.9
95018,Argenteuil,0007,5,770,554,542,71.95,51.85,23.43,4.61,11.25,6.46,2.4
95018,Argenteuil,0008,5,916,677,670,73.91,54.33,24.33,2.69,10.3,4.78,3.58
95018,Argenteuil,0009,5,866,619,611,71.48,56.14,22.91,4.42,10.15,4.42,1.96
95018,Argenteuil,0010,5,1143,840,827,73.49,49.82,23.34,3.87,14.27,5.44,3.26
95018,Argenteuil,0011,5,966,736,728,76.19,43.82,29.26,5.22,11.81,6.32,3.57
95018,Argenteuil,0012,5,1200,898,873,74.83,52.58,23.71,4.01,12.49,5.38,1.83
95018,Argenteuil,0013,5,977,747,738,76.46,42.68,29.4,4.07,12.87,6.91,4.07
95018,Argenteuil,0014,5,824,573,567,69.54,55.56,14.11,3.53,19.93,4.41,2.47
95018,Argenteuil,0015,5,819,565,555,68.99,64.86,15.68,2.16,10.27,4.5,2.52
95018,Argenteuil,0016,5,993,661,650,66.57,63.38,13.23,1.38,17.23,3.38,1.38
95018,Argenteuil,0017,5,1049,763,754,72.74,53.98,22.55,3.45,12.6,4.38,3.05
95018,Argenteuil,0018,5,1171,786,775,67.12,53.68,18.58,2.84,15.23,6.45,3.23
95018,Argenteuil,0019,5,1241,909,888,73.25,54.84,22.64,3.15,13.74,4.05,1.58
95018,Argenteuil,0020,5,1099,769,750,69.97,49.47,26.13,4.0,12.4,5.47,2.53
95018,Argenteuil,0021,5,1062,779,767,73.35,43.55,29.07,4.43,16.04,3.78,3.13
95018,Argenteuil,0022,5,1088,738,716,67.83,58.66,16.48,2.79,15.36,3.63,3.07
95018,Argenteuil,0023,5,1158,863,855,74.53,41.99,27.13,5.38,15.79,7.13,2.57
95018,Argenteuil,0024,5,1043,754,744,72.29,51.08,23.66,4.03,12.63,5.78,2.82
95018,Argenteuil,0025,5,1032,760,746,73.64,44.77,25.87,4.56,15.55,6.3,2.95
95018,Argenteuil,0026,5,1160,847,840,73.02,37.98,27.02,6.67,18.69,7.26,2.38
95018,Argenteuil,0027,5,1111,836,825,75.25,35.27,29.82,6.55,16.73,8.0,3.64
95018,Argenteuil,0028,5,1309,848,836,64.78,64.71,16.15,1.56,12.92,2.87,1.79
95018,Argenteuil,0029,5,1079,725,710,67.19,67.89,18.17,1.27,8.73,2.11,1.83
95018,Argenteuil,0030,5,946,635,615,67.12,70.41,16.26,1.14,8.46,2.28,1.46
95018,Argenteuil,0031,5,1016,689,673,67.81,63.74,16.49,2.67,13.37,2.08,1.63
95018,Argenteuil,0032,5,1146,757,735,66.06,72.24,12.79,1.63,10.48,1.36,1.5
95018,Argenteuil,0033,5,1324,866,851,65.41,71.09,15.04,0.94,8.46,2.12,2.35
95018,Argenteuil,0034,5,1092,788,773,72.16,54.33,26.26,2.46,11.38,4.66,0.91
95018,Argenteuil,0035,5,1123,749,735,66.7,72.79,12.11,0.68,9.39,2.86,2.18
95018,Argenteuil,0036,5,897,622,615,69.34,67.8,14.63,2.28,11.06,2.93,1.3
95018,Argenteuil,0037,5,1099,764,750,69.52,53.47,22.0,5.33,11.33,5.07,2.8
95018,Argenteuil,0038,5,1155,778,769,67.36,69.05,16.25,2.34,8.45,2.34,1.56
95018,Argenteuil,0039,5,859,583,577,67.87,61.53,20.62,2.08,10.23,3.64,1.91
95018,Argenteuil,0040,5,914,598,589,65.43,57.89,19.19,3.57,13.58,2.21,3.57
