scrutin,code_circ,n_bdv,inscrits,votants,exprimes,participation,left,ctr,rgt,far,pr_left,pr_macron,pr_pec,pr_lepen,pr_zem,pr_other,eu_left,eu_ctr,eu_lr,eu_rn,pr2_macron,pr2_lepen
pr22t1,10,68,67547,49606,48534,73.44,,,,,46.42,26.39,4.26,14.93,4.87,3.14,,,,,,
pr22t1,2,80,77842,59158,57913,76.0,,,,,35.55,27.6,5.52,19.78,7.54,4.0,,,,,,
pr22t1,3,104,93965,71466,70009,76.06,,,,,36.83,28.4,6.08,18.05,6.82,3.82,,,,,,
pr22t1,4,75,75211,56796,55677,75.52,,,,,38.14,29.98,5.88,15.11,7.23,3.67,,,,,,
pr22t1,5,67,68637,48371,47550,70.47,,,,,55.43,21.45,3.15,13.15,4.44,2.37,,,,,,
pr22t1,6,75,75004,55410,54394,73.88,,,,,39.45,29.99,5.97,13.48,7.89,3.22,,,,,,
pr22t1,7,70,68851,50344,49336,73.12,,,,,37.57,26.54,5.13,16.4,11.04,3.33,,,,,,
pr22t1,8,53,54208,36054,35259,66.51,,,,,56.37,18.26,2.67,14.16,6.35,2.21,,,,,,
pr22t1,9,86,70142,50093,48857,71.42,,,,,42.5,21.59,3.87,22.09,6.71,3.24,,,,,,
pr22t2,1,132,82149,59624,54476,72.58,,,,,,,,,,,,,,,58.63,41.37
pr22t2,10,68,67586,45096,41168,66.72,,,,,,,,,,,,,,,70.3,29.7
pr22t2,2,80,77882,54978,50294,70.59,,,,,,,,,,,,,,,63.12,36.88
pr22t2,3,104,94006,66482,60949,70.72,,,,,,,,,,,,,,,66.06,33.94
pr22t2,4,75,75244,52601,48176,69.91,,,,,,,,,,,,,,,69.9,30.1
pr22t2,5,67,68696,42618,39052,62.04,,,,,,,,,,,,,,,72.75,27.25
pr22t2,6,75,75030,51032,46980,68.02,,,,,,,,,,,,,,,72.25,27.75
pr22t2,7,70,68940,45927,42168,66.62,,,,,,,,,,,,,,,66.02,33.98
pr22t2,8,53,54159,31368,28782,57.92,,,,,,,,,,,,,,,67.01,32.99
pr22t2,9,86,70184,45172,41230,64.36,,,,,,,,,,,,,,,57.7,42.3
