code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,left,ctr,rgt,far
95002,Ableiges,1,1,355,274,270,77.18,27.41,23.7,4.07,44.81
95002,Ableiges,2,1,336,251,241,74.7,23.65,29.46,4.15,42.74
95008,Aincourt,1,1,561,430,423,76.65,21.75,26.0,7.57,44.68
95011,Ambleville,1,1,305,214,209,70.16,22.97,24.4,3.83,48.8
95012,Amenucourt,1,1,141,105,104,74.47,20.19,18.27,2.88,58.65
95014,Andilly,1,6,695,492,483,70.79,26.92,29.19,9.52,31.68
95014,Andilly,2,6,787,604,595,76.75,17.48,41.85,10.92,28.07
95018,Argenteuil,1,5,790,492,482,62.28,54.15,11.41,11.83,21.58
95018,Argenteuil,2,5,906,611,596,67.44,59.56,15.6,10.23,14.26
95018,Argenteuil,3,5,767,506,499,65.97,54.11,18.84,9.42,17.43
95018,Argenteuil,4,5,892,564,559,63.23,54.2,16.82,11.99,16.99
95018,Argenteuil,5,5,1116,680,667,60.93,56.82,12.59,10.64,19.34
95018,Argenteuil,6,5,1063,618,603,58.14,66.83,8.79,7.3,16.09
95018,Argenteuil,7,5,790,459,453,58.1,56.95,16.56,9.27,16.56
95018,Argenteuil,8,5,952,602,590,63.24,59.15,14.41,12.2,14.07
95018,Argenteuil,9,5,926,567,562,61.23,54.09,19.75,9.07,16.55
95018,Argenteuil,10,5,1164,748,737,64.26,50.2,17.91,10.58,21.03
95018,Argenteuil,11,5,1012,681,672,67.29,48.21,19.35,12.05,19.94
95018,Argenteuil,12,5,1265,825,800,65.22,55.62,17.88,8.88,17.12
95018,Argenteuil,13,5,1002,693,677,69.16,48.01,20.97,9.75,21.12
95018,Argenteuil,14,5,860,496,493,57.67,53.96,9.53,8.11,27.99
95018,Argenteuil,15,5,869,471,464,54.2,64.66,11.85,8.19,14.44
95018,Argenteuil,16,5,1018,539,521,52.95,63.15,7.87,7.87,21.11
95018,Argenteuil,17,5,1071,660,644,61.62,54.97,16.3,9.01,19.72
95018,Argenteuil,18,5,1206,667,656,55.31,54.57,14.63,7.93,21.8
95018,Argenteuil,19,5,1301,812,791,62.41,55.75,14.79,9.86,19.34
95018,Argenteuil,20,5,1128,699,677,61.97,58.35,16.54,6.35,18.46
95018,Argenteuil,21,5,1069,666,655,62.3,47.18,17.56,10.53,23.82
95018,Argenteuil,22,5,1097,623,602,56.79,57.14,12.46,6.98,22.59
95018,Argenteuil,23,5,1172,761,741,64.93,46.56,16.6,12.01,24.83
95018,Argenteuil,24,5,1053,646,631,61.35,53.72,17.43,9.03,19.49
95018,Argenteuil,25,5,1050,697,680,66.38,50.0,16.91,9.71,23.09
95018,Argenteuil,26,5,1167,762,749,65.3,41.26,18.02,9.08,31.24
95018,Argenteuil,27,5,1124,761,752,67.7,38.83,18.09,13.96,28.86
95018,Argenteuil,28,5,1391,727,705,52.26,69.93,6.95,7.94,14.04
95018,Argenteuil,29,5,1133,638,621,56.31,73.27,7.25,8.86,8.53
95018,Argenteuil,30,5,978,560,540,57.26,71.67,8.33,7.41,11.67
95018,Argenteuil,31,5,1099,595,577,54.14,70.54,7.63,5.55,14.38
95018,Argenteuil,32,5,1174,663,644,56.47,75.47,5.75,5.43,12.73
95018,Argenteuil,33,5,1385,747,729,53.94,75.58,7.27,5.08,10.7
95018,Argenteuil,34,5,1118,646,637,57.78,58.87,13.97,9.73,16.95
95018,Argenteuil,35,5,1156,630,617,54.5,73.1,8.27,5.51,11.99
95018,Argenteuil,36,5,925,542,536,58.59,69.03,10.26,6.16,13.99
95018,Argenteuil,37,5,1129,659,643,58.37,59.56,13.84,9.49,16.33
95018,Argenteuil,38,5,1208,664,647,54.97,74.65,8.96,5.56,10.05
95018,Argenteuil,39,5,881,537,525,60.95,65.9,10.48,6.67,16.0
95018,Argenteuil,40,5,954,554,540,58.07,60.74,13.15,9.26,16.85
95018,Argenteuil,41,5,1418,774,754,54.58,69.1,8.89,5.84,15.38
95018,Argenteuil,42,5,1172,639,633,54.52,61.93,13.43,7.42,16.59
95018,Argenteuil,43,5,1067,638,627,59.79,59.33,14.19,7.81,18.18
95018,Argenteuil,44,5,1001,585,570,58.44,65.44,13.68,6.84,13.51
95018,Argenteuil,45,5,1371,789,773,57.55,64.42,11.0,7.5,15.65
95018,Argenteuil,46,5,1067,622,607,58.29,64.74,12.03,7.91,14.33
95018,Argenteuil,47,5,1238,755,735,60.99,62.72,10.61,7.89,18.5
95018,Argenteuil,48,5,1290,810,791,62.79,58.79,11.76,9.48,19.6
95018,Argenteuil,49,5,1332,790,780,59.31,60.13,13.21,9.1,17.56
95018,Argenteuil,50,5,1048,630,611,60.11,59.25,13.91,10.15,16.04
95019,Arnouville,1,8,1020,601,587,58.92,39.69,16.52,9.71,34.07
95019,Arnouville,2,8,962,573,558,59.56,45.88,12.9,7.71,33.51
95019,Arnouville,3,8,1293,782,754,60.48,40.05,12.2,6.63,41.11
95019,Arnouville,4,8,1137,628,613,55.23,49.59,14.19,5.38,30.83
95019,Arnouville,5,8,1074,635,619,59.12,40.39,13.73,8.08,37.8
95019,Arnouville,6,8,1140,670,654,58.77,41.44,15.75,8.1,34.71
95019,Arnouville,7,8,1235,752,726,60.89,41.74,17.77,7.44,33.06
95023,Arronville,1,1,461,355,347,77.01,15.85,30.55,8.65,44.96
95024,Arthies,1,1,192,136,134,70.83,19.4,23.13,4.48,52.99
95026,Asnières-sur-Oise,1,2,858,613,597,71.45,25.29,25.46,5.7,40.54
95026,Asnières-sur-Oise,2,2,673,517,505,76.82,25.94,22.77,5.35,42.38
95026,Asnières-sur-Oise,3,2,599,430,419,71.79,25.06,20.76,3.82,47.02
95028,Attainville,1,7,1217,872,852,71.65,25.23,23.24,8.1,43.43
95039,Auvers-sur-Oise,1,1,1107,808,790,72.99,31.39,30.38,5.57,32.66
95039,Auvers-sur-Oise,2,1,1121,816,791,72.79,34.39,27.05,5.06,33.5
95039,Auvers-sur-Oise,3,1,864,642,631,74.31,28.84,30.9,7.13,33.12
95039,Auvers-sur-Oise,4,1,936,641,624,68.48,30.61,25.64,6.89,36.86
95039,Auvers-sur-Oise,5,1,641,471,462,73.48,33.55,30.3,7.14,29.0
95039,Auvers-sur-Oise,6,1,571,413,408,72.33,28.68,31.37,6.86,33.09
95040,Avernes,1,1,671,527,509,78.54,19.45,35.17,8.25,37.13
95042,Baillet-en-France,1,2,1546,1065,1028,68.89,26.95,26.65,5.54,38.52
95046,Banthelu,1,1,104,79,78,75.96,24.36,26.92,2.56,46.15
95051,Beauchamp,1,3,700,489,484,69.86,31.4,26.65,8.26,31.82
