code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,left,ctr,rgt,far
95002,Ableiges,0001,1,355,275,268,77.46,29.1,24.25,0.0,46.64
95002,Ableiges,0002,1,336,252,246,75.0,25.61,24.39,0.0,50.0
95008,Aincourt,0001,1,562,421,412,74.91,23.06,30.34,0.0,46.6
95011,Ambleville,0001,1,305,217,210,71.15,25.71,24.76,0.0,49.52
95012,Amenucourt,0001,1,141,104,103,73.76,26.21,14.56,0.0,59.22
95014,Andilly,0001,6,695,487,481,70.07,27.23,40.75,0.0,32.02
95014,Andilly,0002,6,787,588,576,74.71,20.66,52.95,0.0,26.39
95023,Arronville,0001,1,461,350,339,75.92,20.94,33.92,0.0,45.13
95024,Arthies,0001,1,192,135,132,70.31,20.45,23.48,0.0,56.06
95026,Asnières-sur-Oise,0001,2,857,623,574,72.7,47.56,0.0,0.0,52.44
95026,Asnières-sur-Oise,0002,2,672,513,469,76.34,45.63,0.0,0.0,54.37
95026,Asnières-sur-Oise,0003,2,600,423,386,70.5,41.71,0.0,0.0,58.29
95028,Attainville,0001,7,1217,848,778,69.68,47.56,0.0,0.0,52.44
95039,Auvers-sur-Oise,0001,1,1107,828,806,74.8,35.61,30.02,0.0,34.37
95039,Auvers-sur-Oise,0002,1,1121,805,784,71.81,40.05,24.62,0.0,35.33
95039,Auvers-sur-Oise,0003,1,864,651,641,75.35,32.29,33.23,0.0,34.48
95039,Auvers-sur-Oise,0004,1,936,650,640,69.44,32.97,27.97,0.0,39.06
95039,Auvers-sur-Oise,0005,1,641,473,462,73.79,40.04,30.74,0.0,29.22
95039,Auvers-sur-Oise,0006,1,571,402,391,70.4,33.76,29.67,0.0,36.57
95040,Avernes,0001,1,672,508,495,75.6,24.24,36.57,0.0,39.19
95042,Baillet-en-France,0001,2,1546,1043,918,67.46,50.87,0.0,0.0,49.13
95046,Banthelu,0001,1,104,80,79,76.92,24.05,26.58,0.0,49.37
95051,Beauchamp,0001,3,700,474,429,67.71,54.78,0.0,0.0,45.22
95051,Beauchamp,0002,3,796,560,499,70.35,54.71,0.0,0.0,45.29
95051,Beauchamp,0003,3,808,567,511,70.17,63.21,0.0,0.0,36.79
95051,Beauchamp,0004,3,647,445,396,68.78,54.8,0.0,0.0,45.2
95051,Beauchamp,0005,3,853,558,505,65.42,60.4,0.0,0.0,39.6
95051,Beauchamp,0006,3,775,507,465,65.42,57.85,0.0,0.0,42.15
95051,Beauchamp,0007,3,882,596,539,67.57,60.48,0.0,0.0,39.52
95051,Beauchamp,0008,3,809,553,499,68.36,53.11,0.0,0.0,46.89
95052,Beaumont-sur-Oise,0001,1,1159,704,685,60.74,44.38,18.54,0.0,37.08
95052,Beaumont-sur-Oise,0002,1,1224,777,751,63.48,39.68,22.64,0.0,37.68
95052,Beaumont-sur-Oise,0003,1,1068,714,688,66.85,42.15,18.6,0.0,39.24
95052,Beaumont-sur-Oise,0004,1,1004,626,614,62.35,46.42,20.68,0.0,32.9
95052,Beaumont-sur-Oise,0005,1,1270,762,737,60.0,58.34,13.3,0.0,28.36
95054,Le Bellay-en-Vexin,0001,1,149,119,114,79.87,34.21,21.93,0.0,43.86
95055,Bellefontaine,0001,9,263,190,162,72.24,38.27,0.0,0.0,61.73
95056,Belloy-en-France,0001,2,1406,953,861,67.78,39.49,0.0,0.0,60.51
95058,Bernes-sur-Oise,0001,1,849,593,574,69.85,42.86,19.34,0.0,37.8
95058,Bernes-sur-Oise,0002,1,865,554,535,64.05,37.94,19.63,0.0,42.43
95059,Berville,0001,1,272,193,183,70.96,24.04,28.42,0.0,47.54
95060,Bessancourt,0001,3,1044,728,668,69.73,59.13,0.0,0.0,40.87
95060,Bessancourt,0002,3,895,616,540,68.83,56.67,0.0,0.0,43.33
95060,Bessancourt,0003,3,889,485,456,54.56,64.47,0.0,0.0,35.53
95060,Bessancourt,0004,3,837,601,558,71.8,58.06,0.0,0.0,41.94
95060,Bessancourt,0005,3,896,592,538,66.07,57.06,0.0,0.0,42.94
95060,Bessancourt,0006,3,835,562,536,67.31,57.09,0.0,0.0,42.91
95061,Béthemont-la-Forêt,0001,3,339,240,221,70.8,51.13,0.0,0.0,48.87
95074,Boisemont,0001,10,628,432,364,68.79,49.45,0.0,0.0,50.55
95078,Boissy-l'Aillerie,0001,10,1375,963,838,70.04,53.46,0.0,0.0,46.54
95091,Bouffémont,0001,7,918,601,558,65.47,62.37,0.0,0.0,37.63
95091,Bouffémont,0002,7,967,602,565,62.25,71.86,0.0,0.0,28.14
95091,Bouffémont,0003,7,644,495,434,76.86,65.44,0.0,0.0,34.56
95091,Bouffémont,0004,7,950,636,604,66.95,69.04,0.0,0.0,30.96
95091,Bouffémont,0005,7,826,602,545,72.88,63.12,0.0,0.0,36.88
95094,Bouqueval,0001,9,196,135,122,68.88,29.51,0.0,0.0,70.49
95101,Bray-et-Lû,0001,1,617,436,431,70.66,28.77,17.63,0.0,53.6
95102,Bréançon,0001,1,326,237,231,72.7,16.02,29.0,0.0,54.98
95110,Brignancourt,0001,1,192,147,144,76.56,29.17,21.53,0.0,49.31
95116,Bruyères-sur-Oise,0001,1,948,576,557,60.76,46.14,14.54,0.0,39.32
95116,Bruyères-sur-Oise,0002,1,908,544,528,59.91,41.48,18.75,0.0,39.77
95116,Bruyères-sur-Oise,0003,1,1082,696,671,64.33,47.39,14.01,0.0,38.6
95119,Buhy,0001,1,221,163,159,73.76,15.72,30.19,0.0,54.09
95120,Butry-sur-Oise,0001,1,733,528,500,72.03,31.8,32.8,0.0,35.4
95120,Butry-sur-Oise,0002,1,956,683,663,71.44,34.39,21.57,0.0,44.04
95127,Cergy,0001,10,961,505,489,52.55,86.91,0.0,0.0,13.09
95127,Cergy,0002,10,713,399,375,55.96,87.47,0.0,0.0,12.53
95127,Cergy,0003,10,854,475,454,55.62,86.34,0.0,0.0,13.66
95127,Cergy,0004,10,536,322,301,60.07,84.39,0.0,0.0,15.61
95127,Cergy,0005,10,1160,669,628,57.67,78.5,0.0,0.0,21.5
95127,Cergy,0006,10,883,528,497,59.8,84.51,0.0,0.0,15.49
95127,Cergy,0007,10,1005,585,554,58.21,80.87,0.0,0.0,19.13
95127,Cergy,0008,10,1011,635,596,62.81,79.03,0.0,0.0,20.97
95127,Cergy,0009,10,1008,670,609,66.47,77.5,0.0,0.0,22.5
95127,Cergy,0010,10,912,632,532,69.3,75.56,0.0,0.0,24.44
95127,Cergy,0011,10,854,577,527,67.56,81.4,0.0,0.0,18.6
95127,Cergy,0012,10,993,596,586,60.02,89.76,0.0,0.0,10.24
95127,Cergy,0013,10,1020,660,619,64.71,74.47,0.0,0.0,25.53
95127,Cergy,0014,10,767,461,422,60.1,76.07,0.0,0.0,23.93
95127,Cergy,0015,10,759,458,433,60.34,79.91,0.0,0.0,20.09
95127,Cergy,0016,10,851,501,472,58.87,78.81,0.0,0.0,21.19
95127,Cergy,0017,10,675,453,419,67.11,77.33,0.0,0.0,22.67
95127,Cergy,0018,2,766,539,498,70.37,72.09,0.0,0.0,27.91
95127,Cergy,0019,2,814,563,496,69.16,66.53,0.0,0.0,33.47
95127,Cergy,0020,2,1034,706,662,68.28,73.87,0.0,0.0,26.13
95127,Cergy,0021,2,1021,615,577,60.24,81.98,0.0,0.0,18.02
95127,Cergy,0022,2,659,408,395,61.91,85.06,0.0,0.0,14.94
95127,Cergy,0023,2,751,431,403,57.39,83.87,0.0,0.0,16.13
95127,Cergy,0024,2,877,523,503,59.64,83.5,0.0,0.0,16.5
95127,Cergy,0025,2,389,279,253,71.72,75.49,0.0,0.0,24.51
95127,Cergy,0026,2,1162,742,707,63.86,80.2,0.0,0.0,19.8
95127,Cergy,0027,2,805,528,492,65.59,77.24,0.0,0.0,22.76
95127,Cergy,0028,10,970,613,569,63.2,79.09,0.0,0.0,20.91
95127,Cergy,0029,10,907,516,497,56.89,83.9,0.0,0.0,16.1
95127,Cergy,0030,10,924,543,515,58.77,80.19,0.0,0.0,19.81
95127,Cergy,0031,2,819,536,503,65.45,77.73,0.0,0.0,22.27
95127,Cergy,0032,10,777,477,460,61.39,81.96,0.0,0.0,18.04
95127,Cergy,0033,10,1038,605,563,58.29,83.66,0.0,0.0,16.34
95127,Cergy,0034,10,911,542,507,59.5,80.47,0.0,0.0,19.53
95127,Cergy,0035,10,969,625,583,64.5,77.53,0.0,0.0,22.47
95134,Champagne-sur-Oise,0001,1,864,622,598,71.99,27.26,33.61,0.0,39.13
95134,Champagne-sur-Oise,0002,1,938,622,605,66.31,33.39,24.63,0.0,41.98
95134,Champagne-sur-Oise,0003,1,923,574,554,62.19,40.07,16.97,0.0,42.96
95134,Champagne-sur-Oise,0004,1,995,655,638,65.83,36.05,24.92,0.0,39.03
95139,La Chapelle-en-Vexin,0001,1,227,164,155,72.25,17.42,30.97,0.0,51.61
95141,Charmont,0001,1,27,19,19,70.37,36.84,36.84,0.0,26.32
95142,Chars,0001,1,1184,872,830,73.65,30.12,23.01,0.0,46.87
