code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,pr_left,pr_macron,pr_pec,pr_lepen,pr_zem,pr_other
95594,Seugy,1,2,787,668,650,84.88,23.23,26.77,23.08,17.69,0.0,9.23
95598,Soisy-sous-Montmorency,1,6,1426,1127,1100,79.03,22.73,27.09,28.64,15.27,0.0,6.27
95598,Soisy-sous-Montmorency,2,6,1305,1048,1023,80.31,20.33,28.35,31.87,13.59,0.0,5.87
95598,Soisy-sous-Montmorency,3,6,1523,1209,1185,79.38,24.14,28.69,26.58,13.5,0.0,7.09
95598,Soisy-sous-Montmorency,4,6,1292,992,977,76.78,22.31,30.5,29.99,11.16,0.0,6.04
95598,Soisy-sous-Montmorency,5,6,1024,687,654,67.09,37.31,30.12,11.31,16.06,0.0,5.2
95598,Soisy-sous-Montmorency,6,6,1191,1020,1011,85.64,18.2,33.43,33.93,10.29,0.0,4.15
95598,Soisy-sous-Montmorency,7,6,1100,868,848,78.91,25.94,28.54,26.18,12.74,0.0,6.6
95598,Soisy-sous-Montmorency,8,6,1076,763,737,70.91,32.02,27.82,15.6,16.55,0.0,8.01
95598,Soisy-sous-Montmorency,9,6,1371,1019,999,74.33,28.73,26.73,25.43,13.31,0.0,5.81
95598,Soisy-sous-Montmorency,10,6,765,508,496,66.41,48.39,23.19,7.46,16.33,0.0,4.64
95604,Survilliers,1,9,1504,1219,1180,81.05,26.95,16.61,16.02,30.42,0.0,10.0
95604,Survilliers,2,9,1017,803,782,78.96,30.95,22.51,10.49,27.24,0.0,8.82
95607,Taverny,1,3,1045,852,833,81.53,33.97,25.09,22.09,13.69,0.0,5.16
95607,Taverny,2,3,894,724,709,80.98,25.53,26.94,22.71,18.34,0.0,6.49
95607,Taverny,3,3,735,592,582,80.54,33.33,23.37,19.93,14.95,0.0,8.42
95607,Taverny,4,3,1150,954,930,82.96,23.76,30.75,24.73,13.66,0.0,7.1
95607,Taverny,5,3,1156,943,922,81.57,26.57,28.63,22.02,16.38,0.0,6.4
95607,Taverny,6,3,1046,749,729,71.61,39.09,25.38,15.23,13.44,0.0,6.86
95607,Taverny,7,3,1095,823,795,75.16,39.62,23.65,12.58,17.86,0.0,6.29
95607,Taverny,8,3,1054,870,836,82.54,27.75,25.6,19.26,17.46,0.0,9.93
95607,Taverny,9,3,914,718,704,78.56,31.25,24.86,11.93,22.59,0.0,9.38
95607,Taverny,10,3,1093,881,866,80.6,24.13,25.06,20.44,19.75,0.0,10.62
95607,Taverny,11,3,996,783,762,78.61,34.65,27.03,10.63,19.55,0.0,8.14
95607,Taverny,12,3,1050,870,849,82.86,22.73,25.56,24.03,18.02,0.0,9.66
95607,Taverny,13,3,861,621,596,72.13,46.14,19.3,12.58,14.26,0.0,7.72
95607,Taverny,14,3,843,643,628,76.28,35.83,23.57,10.03,19.11,0.0,11.46
95607,Taverny,15,3,691,555,543,80.32,30.39,27.99,17.5,15.1,0.0,9.02
95607,Taverny,16,3,1107,879,851,79.4,35.84,25.5,12.81,17.16,0.0,8.7
95607,Taverny,17,3,1072,860,845,80.22,27.34,27.69,21.07,18.11,0.0,5.8
95607,Taverny,18,3,897,731,720,81.49,29.44,29.17,16.81,16.67,0.0,7.92
95610,Théméricourt,1,1,235,200,198,85.11,24.24,30.3,21.21,16.67,0.0,7.58
95611,Theuville,1,1,26,19,17,73.08,29.41,11.76,41.18,5.88,0.0,11.76
95612,Le Thillay,1,9,817,642,622,78.58,29.1,20.1,11.74,31.99,0.0,7.07
95612,Le Thillay,2,9,765,600,583,78.43,32.93,19.73,11.32,29.85,0.0,6.17
95612,Le Thillay,3,9,810,628,620,77.53,24.84,19.19,11.94,33.71,0.0,10.32
95625,Us,1,1,966,849,830,87.89,23.61,20.6,19.16,26.27,0.0,10.36
95627,Vallangoujard,1,1,473,404,400,85.41,17.75,26.5,29.5,20.0,0.0,6.25
95628,Valmondois,1,1,974,833,823,85.52,26.0,24.18,25.03,18.47,0.0,6.32
95633,Vaudherland,1,9,61,48,47,78.69,14.89,17.02,12.77,55.32,0.0,0.0
95637,Vauréal,1,10,1052,813,782,77.28,34.4,31.46,12.66,16.5,0.0,4.99
95637,Vauréal,2,10,950,728,700,76.63,33.29,32.43,15.71,12.29,0.0,6.29
95637,Vauréal,3,10,889,696,675,78.29,26.52,34.81,22.22,8.74,0.0,7.7
95637,Vauréal,4,10,829,631,610,76.12,35.25,27.54,17.87,13.93,0.0,5.41
95637,Vauréal,5,10,798,622,607,77.94,28.01,33.61,17.46,13.84,0.0,7.08
95637,Vauréal,6,10,1045,814,793,77.89,34.43,29.51,16.02,14.25,0.0,5.8
95637,Vauréal,7,10,1236,898,871,72.65,45.69,25.95,7.92,13.55,0.0,6.89
95637,Vauréal,8,10,990,709,679,71.62,38.0,29.6,11.19,16.35,0.0,4.86
95637,Vauréal,9,10,1032,725,683,70.25,47.29,25.18,9.37,13.32,0.0,4.83
95637,Vauréal,10,10,1036,751,728,72.49,39.7,24.59,11.81,16.9,0.0,7.01
95637,Vauréal,11,10,963,745,725,77.36,36.97,32.0,9.66,13.66,0.0,7.72
95637,Vauréal,12,10,1007,735,710,72.99,40.7,30.7,10.42,10.99,0.0,7.18
95641,Vémars,1,9,1803,1293,1262,71.71,26.15,21.32,14.9,27.97,0.0,9.67
95651,Vétheuil,1,1,602,526,517,87.38,27.66,25.34,25.92,15.86,0.0,5.22
95652,Viarmes,1,2,1300,1059,1045,81.46,26.7,21.05,18.95,24.02,0.0,9.28
95652,Viarmes,2,2,1314,1042,1009,79.3,22.7,22.5,22.89,23.69,0.0,8.23
95652,Viarmes,3,2,1300,1053,1018,81.0,17.88,23.58,24.56,26.52,0.0,7.47
95656,Vienne-en-Arthies,1,1,324,297,295,91.67,16.27,19.66,31.86,24.75,0.0,7.46
95658,Vigny,1,1,928,806,787,86.85,20.97,21.22,30.62,18.81,0.0,8.39
95660,Villaines-sous-Bois,1,2,530,474,463,89.43,17.71,22.25,20.09,29.16,0.0,10.8
95675,Villeron,1,9,551,471,462,85.48,22.08,23.81,12.99,29.65,0.0,11.47
