code_commune,nom_commune,inscrits,l24t1_left,l24t1_ctr,l24t1_rgt,l24t1_far,l24t1_participation,l24t1_exprimes,l24t2_left,l24t2_far,l24t2_participation,eu24_eu_lfi,eu24_eu_ps,eu24_eu_vec,eu24_eu_com,eu24_eu_lxeg,eu24_eu_ctr,eu24_eu_lr,eu24_eu_rn,eu24_eu_rec,eu24_participation,pr22t1_pr_left,pr22t1_pr_macron,pr22t1_pr_lepen,pr22t1_pr_zem,pr22t1_pr_pec,pr22t1_pr_other,pr22t1_participation,pr22t2_pr2_macron,pr22t2_pr2_lepen,pr22t2_participation,l22t1_left,l22t1_ctr,l22t1_rgt,l22t1_far,l22t1_participation,eu24_left_total,eu24_far_total,rn_delta_22_24
95026,Asnières-sur-Oise,2130,25.44,23.27,5.06,42.93,73.2,1521,45.35,54.65,73.2,8.82,9.82,4.41,2.83,0.67,13.48,4.99,40.02,6.82,57.0,28.1,23.97,28.92,9.91,4.37,4.72,80.7,49.8,50.2,75.3,30.0,26.13,5.68,34.95,51.3,26.55,46.84,7.98
95042,Baillet-en-France,1546,26.95,26.65,5.54,38.52,68.9,1028,50.87,49.13,67.5,11.54,11.79,5.22,2.92,0.61,13.12,7.29,34.26,5.83,54.4,27.67,28.72,24.61,9.28,4.73,4.99,76.7,56.75,43.25,74.1,32.25,29.01,6.62,30.42,47.5,32.08,40.09,8.1
95056,Belloy-en-France,1404,24.63,20.17,5.31,46.6,68.9,942,39.49,60.51,67.8,9.88,8.25,2.57,3.52,0.68,10.83,6.63,42.35,6.9,53.6,26.4,24.6,30.96,9.5,4.37,4.18,78.4,50.21,49.79,73.4,27.87,29.34,4.1,36.89,44.9,24.9,49.25,9.71
95127,Cergy,30532,56.84,19.27,6.89,16.36,62.7,18745,79.94,20.06,61.9,35.01,14.85,5.02,1.78,1.3,11.83,4.53,15.33,4.23,43.6,55.66,23.7,10.36,4.09,3.65,2.53,69.9,76.21,23.79,62.4,48.52,27.67,7.2,14.51,43.4,57.96,19.56,1.85
95218,Eragny,11508,38.44,24.48,7.44,26.66,62.7,7043,66.45,33.55,63.0,20.08,13.21,5.08,2.04,0.94,14.06,6.32,26.17,5.18,45.1,39.82,27.65,17.31,5.51,5.74,3.98,72.6,66.77,33.23,66.4,38.41,28.34,9.83,21.33,42.1,41.35,31.35,5.33
95313,L'Isle-Adam,8886,21.16,33.49,9.46,33.3,72.1,6271,51.46,48.54,70.8,7.41,12.67,4.67,1.07,0.84,17.86,11.98,28.5,8.42,59.4,24.74,33.9,18.24,10.01,9.42,3.7,79.9,65.16,34.84,76.5,23.91,34.09,16.45,23.71,53.1,26.66,36.92,9.59
95353,Maffliers,1243,29.88,20.95,5.12,41.67,69.8,840,47.53,52.47,68.5,11.78,10.39,4.65,3.1,0.31,9.15,5.27,37.21,10.39,53.7,30.11,25.13,25.44,10.38,4.05,4.88,80.6,51.46,48.54,74.0,32.76,26.38,4.31,33.62,48.1,30.23,47.6,8.05
95392,Mériel,3743,28.0,26.58,5.39,36.61,69.0,2521,52.92,47.08,67.5,9.54,13.52,6.46,1.97,1.21,13.37,5.5,34.66,5.95,54.0,31.15,26.75,24.06,8.02,5.12,4.91,78.0,58.45,41.55,74.8,32.25,28.18,8.04,29.69,50.1,32.7,40.61,6.92
95394,Méry-sur-Oise,6587,30.35,25.88,6.45,34.41,65.9,4231,55.26,44.74,65.2,12.44,13.66,5.12,2.38,0.64,13.14,6.55,33.32,5.37,50.2,34.51,28.01,21.75,7.19,4.37,4.17,76.7,61.25,38.75,70.5,36.13,28.97,7.23,25.72,44.7,34.24,38.69,8.69
95430,Montsoult,2646,30.37,24.56,5.03,36.73,70.1,1808,52.94,47.06,69.0,11.52,11.87,5.76,3.16,0.84,10.32,6.67,33.15,6.95,54.5,,,,,,,,,,,,,,,,33.15,40.1,
95445,Nerville-la-Forêt,469,23.48,30.18,7.93,35.37,71.6,328,52.01,47.99,71.0,8.21,16.79,4.1,2.24,2.24,16.04,8.96,27.99,7.46,56.9,25.27,39.29,15.11,10.44,4.67,5.22,82.1,62.72,37.28,79.7,25.69,37.61,10.55,23.39,46.9,33.58,35.45,11.98
95450,Neuville-sur-Oise,1223,28.43,31.37,13.62,23.42,76.5,918,63.22,36.78,74.9,7.32,17.12,8.89,0.65,1.18,19.87,8.76,21.31,6.93,62.7,,,,,,,,,,,,,,,,35.16,28.24,
95456,Noisy-sur-Oise,417,20.2,28.48,3.64,44.7,73.1,302,45.0,55.0,71.9,8.53,6.59,5.81,1.16,0.39,18.6,3.88,34.11,10.85,62.4,22.32,27.54,25.51,10.72,5.22,8.7,78.8,49.22,50.78,77.9,30.22,27.56,5.78,35.11,54.5,22.48,44.96,9.59
95480,Parmain,4324,27.56,28.21,5.91,35.31,69.4,2928,53.68,46.32,68.4,8.75,14.44,5.65,1.1,0.98,14.35,7.39,30.02,8.75,55.2,,,,,,,,,,,,,,,,30.92,38.77,
95504,Presles,2801,27.39,28.78,6.04,35.17,73.6,2019,52.8,47.2,70.2,8.82,12.75,5.94,2.45,1.65,13.85,7.84,32.41,6.43,59.2,31.08,27.64,21.32,9.06,6.51,4.39,80.3,58.57,41.43,76.4,33.67,25.1,8.91,27.69,54.6,31.61,38.84,7.48
95566,Saint-Martin-du-Tertre,1830,28.68,20.9,6.47,40.11,60.4,1067,49.18,50.82,58.6,11.64,10.54,4.04,2.82,1.23,10.91,6.86,35.17,8.7,45.2,33.41,22.38,26.34,8.55,4.74,4.58,72.6,52.7,47.3,66.8,37.7,25.14,4.59,30.14,41.3,30.27,43.87,9.97
