key,left_leg24,centre_leg24,right_leg24,far_right_leg24,left_leg22,centre_leg22,right_leg22,far_right_leg22,left_leg17,centre_leg17,right_leg17,far_right_leg17,left_pres22,centre_pres22,right_pres22,far_right_pres22,left_euro24,centre_euro24,right_euro24,far_right_euro24,winner_t2_24,proj_left,proj_rn,margin_left,scenario
2204,33.65,30.56,0.0,35.78,17.01,25.93,6.8,18.86,45.08,34.5,7.28,9.46,23.19,0.0,0.0,0.0,37.85,13.28,5.38,35.95,LEFT,52.0,40.4,11.6,bascule_probable
2205,33.11,37.81,0.0,29.08,13.42,30.93,6.74,17.52,30.13,57.11,0.87,7.98,22.1,0.0,0.0,0.0,40.66,17.34,6.56,29.79,CENTRE,55.8,34.8,21.0,bastion_gauche
2301,25.04,17.44,22.12,34.15,2.4,25.99,22.72,21.2,36.41,33.19,17.99,11.95,21.2,0.0,0.0,0.0,31.14,11.67,6.96,40.97,FAR_RIGHT,41.7,45.2,-3.5,rn_resistant
2401,30.85,24.3,5.28,39.33,16.06,21.48,13.14,24.17,36.46,34.59,14.49,13.78,21.36,0.0,0.0,0.0,33.85,12.94,5.35,40.64,FAR_RIGHT,46.9,45.0,1.9,bascule_possible
2402,29.7,19.58,8.01,42.71,16.11,22.05,9.07,30.57,32.88,34.73,13.85,17.62,18.94,0.0,0.0,0.0,29.56,12.92,5.6,43.68,FAR_RIGHT,43.7,48.7,-5.0,bastion_rn
2403,30.01,23.33,6.52,40.13,10.89,29.38,7.67,26.06,40.84,30.49,15.07,12.66,20.66,0.0,0.0,0.0,29.98,12.37,5.78,41.93,FAR_RIGHT,45.8,46.1,-0.3,rn_resistant
2404,35.53,19.65,7.65,37.17,15.68,20.31,12.45,22.17,36.73,30.92,19.01,10.62,22.22,0.0,0.0,0.0,33.34,12.75,5.89,38.41,LEFT,49.5,43.0,6.5,bascule_possible
2501,35.28,33.52,0.0,31.2,7.98,26.75,11.01,22.17,31.06,29.87,19.48,12.5,25.16,0.0,0.0,0.0,38.69,15.06,7.0,33.88,CENTRE,55.4,36.2,19.2,bastion_gauche
2502,35.57,26.79,7.52,30.12,0.0,31.36,10.8,22.86,64.16,0.0,20.98,12.96,24.2,0.0,0.0,0.0,38.49,15.48,8.11,32.6,LEFT,53.7,37.0,16.7,bastion_gauche
2503,23.34,30.22,0.0,46.45,0.0,22.81,24.35,30.88,20.33,33.83,25.05,20.01,18.49,0.0,0.0,0.0,25.61,12.78,8.33,46.47,FAR_RIGHT,41.5,51.0,-9.5,bastion_rn
2504,31.94,20.44,0.0,47.62,2.29,29.15,10.76,35.51,17.57,37.47,17.32,26.51,21.99,0.0,0.0,0.0,27.57,11.0,5.6,50.36,FAR_RIGHT,44.2,50.7,-6.5,bastion_rn
2505,17.81,12.41,35.2,33.73,0.0,19.49,42.07,18.54,16.25,33.09,38.49,10.61,14.59,0.0,0.0,0.0,24.67,16.03,13.28,39.12,RIGHT,35.1,49.0,-13.9,bastion_rn
2601,33.35,16.62,17.89,32.14,4.74,25.18,19.46,21.67,30.32,29.24,18.86,13.49,24.58,0.0,0.0,0.0,37.77,14.04,7.81,35.55,LEFT,48.3,41.4,6.9,bascule_possible
2602,23.9,18.94,13.21,43.95,3.64,24.66,12.79,33.78,24.01,50.11,3.95,20.8,20.02,0.0,0.0,0.0,29.51,12.79,6.14,46.27,FAR_RIGHT,39.0,51.8,-12.8,bastion_rn
2603,39.09,19.09,8.5,33.32,3.33,23.5,15.87,20.78,32.17,32.99,19.68,14.51,26.74,0.0,0.0,0.0,40.23,12.43,6.21,34.13,LEFT,52.9,39.4,13.5,bascule_probable
2604,27.18,8.31,23.98,40.54,0.32,15.99,25.82,26.14,35.04,22.34,23.73,17.29,20.63,0.0,0.0,0.0,31.16,11.81,6.61,44.8,FAR_RIGHT,38.9,50.9,-12.0,bastion_rn
2701,23.4,28.51,0.0,48.09,7.47,26.74,8.13,35.79,20.88,44.46,6.16,23.09,18.27,0.0,0.0,0.0,25.09,13.4,6.08,48.93,FAR_RIGHT,40.5,52.4,-11.9,bastion_rn
2702,22.42,17.99,14.93,44.67,5.19,25.71,11.59,34.72,21.63,34.92,20.07,19.54,17.27,0.0,0.0,0.0,25.28,13.72,6.28,48.08,FAR_RIGHT,37.4,53.0,-15.6,bastion_rn
2703,17.64,32.28,0.0,50.08,1.59,23.18,18.17,35.04,23.02,46.43,8.5,21.47,15.44,0.0,0.0,0.0,22.46,13.68,6.29,49.98,FAR_RIGHT,37.0,54.9,-17.9,bastion_rn
2704,35.39,22.1,0.0,42.51,5.76,24.67,7.14,33.28,27.16,47.2,0.0,23.71,20.85,0.0,0.0,0.0,30.13,12.54,5.5,46.26,LEFT,48.6,45.8,2.8,bascule_possible
2705,22.42,24.39,7.05,45.26,5.13,27.73,8.14,36.13,22.93,28.56,20.84,23.61,18.52,0.0,0.0,0.0,25.56,12.9,6.57,48.94,FAR_RIGHT,39.0,51.6,-12.6,bastion_rn
2801,25.13,32.89,7.18,34.8,2.35,31.32,17.2,25.03,21.43,37.12,25.15,14.63,18.58,0.0,0.0,0.0,30.46,16.71,8.49,38.33,CENTRE,46.9,42.5,4.4,bascule_possible
2802,27.5,7.24,25.92,39.35,4.17,16.39,28.37,28.63,19.08,29.24,29.83,19.46,24.78,0.0,0.0,0.0,30.21,11.38,8.21,44.77,RIGHT,39.1,50.3,-11.2,bastion_rn
2803,6.87,36.35,12.71,44.07,5.51,29.87,8.91,29.64,48.1,0.0,31.91,19.46,17.87,0.0,0.0,0.0,26.1,14.3,7.43,46.05,CENTRE,32.2,54.4,-22.2,bastion_rn
2804,15.54,39.44,0.0,45.02,3.49,42.66,7.49,29.61,17.46,63.15,1.54,17.35,14.88,0.0,0.0,0.0,20.01,13.43,8.6,51.42,CENTRE,39.2,50.9,-11.7,bastion_rn
2901,34.09,33.0,8.32,24.59,0.0,42.85,4.61,15.78,37.0,50.07,2.2,7.26,21.42,0.0,0.0,0.0,40.97,19.01,7.79,26.92,CENTRE,56.2,32.7,23.5,bastion_gauche
2902,38.39,35.52,2.7,23.38,13.4,36.56,0.0,14.65,35.64,39.99,13.21,7.27,26.61,0.0,0.0,0.0,47.34,15.14,6.51,26.82,LEFT,60.5,29.7,30.8,bastion_gauche
2903,28.02,38.92,0.0,29.93,2.64,41.37,6.38,17.6,32.06,44.01,11.58,9.01,20.86,0.0,0.0,0.0,39.38,17.87,7.32,30.46,CENTRE,51.4,35.8,15.6,bastion_gauche
2904,32.48,30.63,11.04,25.86,1.66,36.85,11.55,15.26,31.86,30.25,28.53,6.2,22.61,0.0,0.0,0.0,40.09,17.49,7.5,29.12,CENTRE,53.9,34.6,19.3,bastion_gauche
2905,28.0,30.87,11.16,27.44,1.43,31.26,17.05,15.92,30.85,35.78,21.53,7.94,19.22,0.0,0.0,0.0,37.57,19.33,8.29,30.01,CENTRE,49.6,36.3,13.3,bascule_probable
2906,40.83,27.99,0.0,31.19,0.04,33.56,10.6,17.33,22.7,33.93,18.1,8.09,22.25,0.0,0.0,0.0,39.06,15.47,6.71,31.77,LEFT,57.6,35.4,22.2,bastion_gauche
2907,32.65,32.07,7.32,26.1,1.81,31.23,12.08,15.35,29.65,42.53,16.98,6.68,23.36,0.0,0.0,0.0,41.64,16.47,6.62,28.71,CENTRE,53.9,33.7,20.2,bastion_gauche
2908,41.43,27.76,0.0,30.8,2.01,34.87,6.65,21.12,39.53,33.42,12.19,10.99,22.11,0.0,0.0,0.0,39.02,15.37,6.25,33.22,CENTRE,58.1,35.0,23.1,bastion_gauche
2A01,9.8,30.7,0.0,31.2,9.99,42.96,0.0,16.55,,,,,14.05,0.0,0.0,0.0,20.68,12.57,5.46,52.22,CENTRE,28.2,35.8,-7.6,bastion_rn
2A02,12.32,0.0,16.85,35.1,12.6,0.0,27.62,20.92,,,,,13.67,0.0,0.0,0.0,18.3,16.53,6.06,50.71,OTHER,17.0,41.5,-24.5,bastion_rn
2B01,9.43,19.85,0.0,30.82,14.6,25.57,0.0,18.07,,,,,14.63,0.0,0.0,0.0,22.0,11.98,7.51,49.57,OTHER,21.3,33.8,-12.5,bastion_rn
2B02,6.65,0.0,34.05,25.42,5.89,0.0,29.06,12.7,,,,,12.5,0.0,0.0,0.0,20.62,11.93,8.94,48.64,RIGHT,16.2,38.4,-22.2,bastion_rn
3001,30.57,20.1,5.43,43.91,3.27,25.21,6.74,37.86,24.08,43.14,0.0,29.83,25.53,0.0,0.0,0.0,32.88,11.38,5.38,46.2,FAR_RIGHT,44.2,49.0,-4.8,rn_resistant
3002,24.58,16.9,6.3,52.22,3.07,23.05,8.72,41.76,18.16,32.16,14.22,33.43,18.77,0.0,0.0,0.0,25.39,10.82,5.1,53.52,T1_WIN,36.5,57.1,-20.6,bastion_rn
3003,23.97,19.21,9.04,47.48,6.93,26.77,6.73,36.72,26.05,33.93,15.16,24.05,18.16,0.0,0.0,0.0,27.56,12.61,6.06,48.65,FAR_RIGHT,38.0,53.8,-15.8,bastion_rn
3004,28.85,16.36,6.1,48.69,3.38,26.65,5.03,36.64,41.53,24.41,11.84,21.44,20.9,0.0,0.0,0.0,29.73,9.95,4.64,50.16,FAR_RIGHT,40.4,53.5,-13.1,bastion_rn
3005,34.45,15.4,8.02,41.01,2.4,21.78,7.8,28.83,35.48,32.76,10.42,20.63,25.59,0.0,0.0,0.0,36.65,10.24,4.05,42.45,FAR_RIGHT,45.9,46.4,-0.5,rn_resistant
3006,29.45,20.73,5.76,42.07,6.7,24.85,9.21,32.9,28.23,33.52,14.01,23.54,22.91,0.0,0.0,0.0,33.65,12.44,5.4,44.19,FAR_RIGHT,43.5,47.4,-3.9,rn_resistant
3101,46.18,29.8,0.0,23.05,8.55,29.74,3.73,14.45,43.0,33.7,13.0,7.77,32.26,0.0,0.0,0.0,52.72,13.76,6.02,22.9,LEFT,64.1,27.5,36.6,bastion_gauche
3102,43.86,27.91,0.0,28.23,9.7,26.81,5.75,18.5,39.71,37.61,11.31,10.67,29.49,0.0,0.0,0.0,47.44,13.45,6.2,27.94,LEFT,60.6,32.4,28.2,bastion_gauche
3103,37.36,34.4,5.69,22.5,8.56,29.27,16.31,13.68,29.24,39.61,22.27,6.6,24.82,0.0,0.0,0.0,44.79,16.94,9.38,24.64,CENTRE,59.6,29.8,29.8,bastion_gauche
3104,53.93,28.89,0.0,17.18,7.39,23.61,8.8,11.29,40.79,36.07,13.39,6.74,39.0,0.0,0.0,0.0,60.01,12.99,5.83,17.59,T1_WIN,71.3,21.5,49.8,bastion_gauche
3105,28.98,29.43,0.0,41.43,5.55,28.91,3.32,30.27,32.3,48.86,0.0,16.67,21.47,0.0,0.0,0.0,33.82,12.72,5.84,41.2,CENTRE,46.6,45.8,0.8,rn_resistant
3106,38.18,29.6,0.0,32.21,10.39,30.27,7.11,21.38,34.27,39.54,10.47,12.02,22.72,0.0,0.0,0.0,41.05,15.24,6.02,32.08,LEFT,55.9,36.6,19.3,bastion_gauche
3107,34.81,24.81,0.0,40.37,4.11,26.53,5.32,29.87,32.69,37.41,8.73,18.32,23.21,0.0,0.0,0.0,36.85,11.54,4.63,40.26,LEFT,49.7,44.1,5.6,bascule_possible
3108,37.81,16.09,3.06,43.04,48.03,20.6,3.05,27.49,38.62,42.13,0.0,16.64,20.81,0.0,0.0,0.0,33.27,10.33,3.98,42.05,LEFT,48.3,46.6,1.7,bascule_possible
3109,49.13,24.51,0.0,26.35,9.45,25.25,4.81,18.82,41.55,36.96,8.93,10.64,33.68,0.0,0.0,0.0,51.75,11.79,5.05,26.54,LEFT,63.8,30.0,33.8,bastion_gauche
3110,37.6,29.92,0.0,31.79,4.25,32.23,10.2,19.07,30.09,46.42,11.41,8.74,22.46,0.0,0.0,0.0,41.09,15.37,6.34,30.69,LEFT,55.6,36.3,19.3,bastion_gauche
3201,30.38,30.9,0.0,36.84,13.68,31.49,0.0,27.02,36.01,48.44,0.0,11.17,19.87,0.0,0.0,0.0,33.68,13.2,5.72,36.5,CENTRE,48.9,41.5,7.4,bascule_probable
3202,46.71,0.0,14.04,36.77,25.18,19.41,11.99,23.11,39.39,24.36,22.11,12.76,17.74,0.0,0.0,0.0,31.18,12.68,6.02,39.78,LEFT,50.6,42.1,8.5,bascule_probable
3301,34.91,42.53,0.0,22.56,7.0,38.23,10.42,15.2,26.24,43.95,20.91,6.59,22.45,0.0,0.0,0.0,41.51,19.65,10.82,23.82,CENTRE,60.4,28.9,31.5,bastion_gauche
3302,50.02,29.08,6.88,14.03,2.45,32.83,7.69,10.18,37.06,39.78,17.01,4.5,31.33,0.0,0.0,0.0,55.39,16.35,8.81,15.88,LEFT,69.4,21.0,48.4,bastion_gauche
3303,51.57,27.75,0.0,20.66,6.9,32.5,0.0,13.64,44.7,33.77,9.44,7.9,33.16,0.0,0.0,0.0,55.73,12.96,5.12,21.41,LEFT,68.2,24.8,43.4,bastion_gauche
3304,43.51,17.27,6.86,32.37,1.69,24.0,6.78,25.23,38.56,44.69,0.0,14.7,27.75,0.0,0.0,0.0,41.38,12.26,4.71,35.79,LEFT,55.8,37.6,18.2,bastion_gauche
3305,32.81,22.22,2.65,42.32,1.62,29.16,8.49,33.52,35.47,33.41,11.28,18.33,19.24,0.0,0.0,0.0,29.73,13.68,5.53,43.78,LEFT,46.9,46.7,0.2,rn_resistant
3306,37.88,33.86,0.0,28.26,3.92,34.83,6.25,19.84,33.88,55.0,0.0,9.18,21.25,0.0,0.0,0.0,39.56,17.59,7.47,29.84,LEFT,58.2,33.3,24.9,bastion_gauche
3307,42.08,34.46,0.0,23.46,3.99,36.27,6.81,16.31,36.48,39.01,14.45,8.0,24.47,0.0,0.0,0.0,45.03,17.97,6.74,25.15,LEFT,62.8,28.6,34.2,bastion_gauche
3308,19.75,31.71,10.23,38.15,5.12,35.02,11.23,26.76,20.25,40.38,26.37,12.45,14.95,0.0,0.0,0.0,26.13,18.5,8.6,40.43,CENTRE,41.6,46.8,-5.2,bastion_rn
3309,29.78,30.03,0.0,40.19,7.72,28.75,7.66,29.18,39.95,31.21,13.0,14.44,20.31,0.0,0.0,0.0,33.02,13.21,5.85,39.18,CENTRE,47.8,44.7,3.1,bascule_possible
3310,26.24,29.96,0.0,43.8,6.36,32.7,0.0,35.69,22.74,43.63,15.52,17.05,19.0,0.0,0.0,0.0,29.0,13.28,5.86,44.9,CENTRE,44.2,48.3,-4.1,rn_resistant
3311,24.12,22.54,0.0,53.33,5.94,23.72,3.32,42.93,29.17,27.79,16.44,24.97,18.32,0.0,0.0,0.0,25.39,10.37,4.51,52.43,T1_WIN,37.6,56.7,-19.1,bastion_rn
3312,30.49,27.62,3.49,38.41,11.31,24.58,10.67,25.61,31.5,37.44,15.41,14.93,21.2,0.0,0.0,0.0,33.34,13.53,5.89,38.98,LEFT,48.0,43.9,4.1,bascule_possible
3401,34.85,22.54,6.7,35.91,11.97,24.83,6.9,27.96,30.83,43.83,4.4,18.37,26.67,0.0,0.0,0.0,38.71,12.75,5.57,38.27,LEFT,50.2,41.8,8.4,bascule_probable
3402,58.93,19.76,4.29,16.97,19.09,27.13,0.0,12.92,46.79,28.58,11.36,9.02,45.41,0.0,0.0,0.0,63.02,10.61,4.64,18.23,T1_WIN,72.0,21.6,50.4,bastion_gauche
3403,37.45,29.1,0.0,33.45,17.11,26.68,5.57,22.8,29.23,37.17,17.42,14.13,23.75,0.0,0.0,0.0,39.87,14.78,6.58,34.1,LEFT,54.9,37.8,17.1,bastion_gauche
3404,34.04,22.56,0.0,43.39,12.01,23.74,6.77,28.9,34.25,31.49,15.42,17.73,24.01,0.0,0.0,0.0,35.87,11.85,4.9,41.24,FAR_RIGHT,47.6,46.8,0.8,rn_resistant
3405,33.47,13.97,0.0,50.89,19.44,17.07,5.22,33.86,37.11,28.56,10.51,22.08,22.04,0.0,0.0,0.0,30.2,9.56,4.19,47.79,FAR_RIGHT,41.9,53.0,-11.1,bastion_rn
3406,21.83,9.87,27.25,41.05,9.42,15.62,48.0,9.49,19.6,24.72,18.28,35.41,19.08,0.0,0.0,0.0,25.54,9.83,5.56,53.86,FAR_RIGHT,35.4,52.9,-17.5,bastion_rn
3407,26.82,21.52,0.0,51.66,9.44,19.35,10.28,38.02,30.41,24.99,15.7,24.91,19.62,0.0,0.0,0.0,27.37,11.08,4.78,51.85,T1_WIN,39.7,54.9,-15.2,bastion_rn
3408,36.68,16.86,6.34,40.12,8.25,25.37,5.02,31.48,34.35,31.26,9.93,22.44,25.4,0.0,0.0,0.0,37.5,11.34,4.76,41.58,LEFT,48.6,45.1,3.5,bascule_possible
3409,30.04,25.0,6.05,38.91,5.16,28.37,5.69,32.61,24.38,39.89,12.6,22.36,24.1,0.0,0.0,0.0,35.09,12.71,5.25,42.16,FAR_RIGHT,46.7,45.0,1.7,bascule_possible
3501,44.13,31.88,5.01,17.65,6.08,36.56,0.0,12.92,38.39,50.38,1.29,6.05,28.74,0.0,0.0,0.0,53.4,16.84,6.5,19.66,LEFT,64.7,24.3,40.4,bastion_gauche
3502,41.4,34.24,6.93,17.43,1.24,41.41,0.0,13.76,31.73,46.48,13.7,5.0,25.01,0.0,0.0,0.0,49.26,19.08,8.43,19.36,LEFT,63.9,25.2,38.7,bastion_gauche
3503,37.96,29.71,2.52,28.12,2.82,32.53,8.53,17.73,72.76,0.0,15.14,10.2,22.18,0.0,0.0,0.0,39.94,17.17,7.42,30.16,LEFT,56.5,33.5,23.0,bastion_gauche
3504,33.36,24.06,8.85,33.73,3.58,29.78,7.88,21.73,33.94,42.02,10.49,12.44,21.95,0.0,0.0,0.0,38.01,15.72,6.6,33.88,LEFT,50.3,40.7,9.6,bascule_probable
3505,27.76,42.42,0.0,29.82,3.71,34.43,16.79,17.48,20.66,40.59,30.23,7.59,18.04,0.0,0.0,0.0,33.58,18.52,12.11,30.58,CENTRE,53.2,36.2,17.0,bastion_gauche
3506,26.63,42.43,0.0,30.94,1.09,46.88,3.98,19.76,19.66,66.98,0.68,11.33,18.38,0.0,0.0,0.0,33.26,18.78,7.7,33.91,CENTRE,52.1,37.3,14.8,bascule_probable
3507,23.59,4.88,43.33,28.2,1.1,30.21,25.42,17.23,16.96,36.61,35.73,8.0,17.5,0.0,0.0,0.0,33.27,20.21,9.06,32.32,RIGHT,38.7,45.4,-6.7,bastion_rn
3508,53.81,25.69,4.97,14.4,5.59,32.26,2.2,10.8,39.13,40.94,11.99,4.65,32.42,0.0,0.0,0.0,57.91,15.89,6.52,16.35,T1_WIN,70.6,20.1,50.5,bastion_gauche
3601,23.23,35.12,0.0,41.66,1.56,27.53,19.97,26.49,31.2,37.16,16.04,15.09,19.27,0.0,0.0,0.0,27.22,13.85,6.77,45.15,CENTRE,44.3,46.9,-2.6,rn_resistant
3602,25.04,0.0,31.82,41.71,1.36,18.36,27.76,28.56,29.13,28.6,26.41,15.01,17.33,0.0,0.0,0.0,24.85,13.25,7.21,47.17,RIGHT,33.9,53.8,-19.9,bastion_rn
3701,49.94,24.17,5.92,19.98,3.09,30.57,11.85,13.7,37.5,36.29,17.79,6.68,31.34,0.0,0.0,0.0,49.96,15.62,8.22,22.29,LEFT,66.1,25.9,40.2,bastion_gauche
3702,24.8,32.58,6.46,36.16,3.56,32.38,10.55,26.25,26.62,37.42,23.48,11.9,19.43,0.0,0.0,0.0,33.18,16.36,6.98,37.67,CENTRE,46.2,43.5,2.7,bascule_possible
3703,27.13,32.87,0.0,33.69,3.6,46.07,0.0,23.61,56.18,20.02,11.25,11.62,19.89,0.0,0.0,0.0,33.55,17.09,7.54,35.96,CENTRE,46.9,38.6,8.3,bascule_probable
3704,30.91,27.65,8.55,32.89,5.15,29.99,9.55,24.04,33.69,34.39,19.47,11.91,21.19,0.0,0.0,0.0,34.94,16.31,6.92,35.87,LEFT,49.9,40.3,9.6,bascule_probable
3705,25.3,26.75,11.36,36.6,7.88,29.15,15.64,26.17,26.05,38.57,22.01,12.49,18.22,0.0,0.0,0.0,31.58,16.35,8.43,37.74,CENTRE,44.5,44.9,-0.4,rn_resistant
3801,41.05,33.62,6.98,18.34,2.45,40.5,6.67,12.74,27.9,64.86,0.0,6.28,27.64,0.0,0.0,0.0,51.08,17.53,8.23,19.71,LEFT,63.2,26.0,37.2,bastion_gauche
3802,43.43,19.23,5.82,31.52,10.13,28.45,4.84,22.13,34.16,39.6,9.55,14.3,29.07,0.0,0.0,0.0,45.71,12.43,4.8,32.7,LEFT,56.6,36.6,20.0,bastion_gauche
3803,52.89,20.94,2.79,23.37,9.27,24.6,7.09,15.22,43.13,36.18,8.7,11.12,36.2,0.0,0.0,0.0,55.44,11.27,4.29,25.11,LEFT,66.2,27.6,38.6,bastion_gauche
3804,43.48,11.96,11.14,33.42,3.68,23.24,7.37,22.22,37.92,33.33,14.41,13.54,23.69,0.0,0.0,0.0,41.02,14.16,5.58,34.16,LEFT,53.8,39.4,14.4,bascule_probable
3805,37.22,30.11,0.0,32.67,10.49,30.8,0.0,25.21,31.74,40.58,13.62,13.32,23.72,0.0,0.0,0.0,42.79,14.29,5.86,32.47,LEFT,55.3,37.2,18.1,bastion_gauche
3806,22.24,17.46,12.74,47.55,0.47,26.17,13.44,36.98,22.32,32.4,18.06,26.6,17.75,0.0,0.0,0.0,26.95,11.85,6.06,50.2,FAR_RIGHT,36.3,55.0,-18.7,bastion_rn
3807,20.74,9.6,27.56,42.1,2.91,19.79,24.84,29.15,21.54,34.17,22.61,20.91,17.92,0.0,0.0,0.0,26.24,12.43,6.69,48.48,RIGHT,34.2,54.0,-19.8,bastion_rn
3808,25.59,20.49,13.84,39.92,3.01,23.18,20.89,28.77,29.89,32.33,17.54,19.15,19.17,0.0,0.0,0.0,30.38,13.01,6.77,44.76,FAR_RIGHT,41.8,48.3,-6.5,bastion_rn
3809,30.25,27.26,7.72,34.6,1.6,29.96,12.27,24.14,27.95,39.02,17.01,14.79,22.25,0.0,0.0,0.0,37.36,14.82,5.98,36.71,LEFT,48.8,41.6,7.2,bascule_probable
3810,26.94,22.19,8.03,42.83,7.37,25.92,8.82,33.13,28.28,34.38,15.4,21.27,21.73,0.0,0.0,0.0,31.58,12.36,6.05,44.64,FAR_RIGHT,42.5,49.2,-6.7,bastion_rn
3901,24.81,36.16,0.0,39.03,0.0,36.73,7.67,25.51,26.84,35.54,20.66,15.9,20.96,0.0,0.0,0.0,31.18,13.88,7.25,39.82,CENTRE,46.5,44.5,2.0,bascule_possible
3902,25.77,0.0,38.59,35.64,0.0,18.6,34.17,21.87,23.1,27.24,34.9,11.68,21.26,0.0,0.0,0.0,30.63,13.57,8.31,39.3,RIGHT,36.6,50.3,-13.7,bastion_rn
3903,25.93,0.0,34.34,39.73,4.45,15.8,25.62,27.87,23.06,26.48,32.75,16.91,19.79,0.0,0.0,0.0,29.0,12.97,8.16,43.79,RIGHT,35.5,52.8,-17.3,bastion_rn
4001,28.21,29.21,4.42,38.16,5.2,38.88,6.3,24.96,31.06,43.34,11.96,13.11,17.89,0.0,0.0,0.0,29.89,14.52,5.28,39.14,CENTRE,47.0,44.2,2.8,bascule_possible
4002,29.39,30.05,5.33,33.66,1.5,38.09,6.76,21.67,33.79,42.96,10.87,11.67,18.88,0.0,0.0,0.0,33.87,16.02,6.23,34.4,CENTRE,48.9,40.2,8.7,bascule_probable
4003,37.83,17.61,7.18,36.74,0.0,29.73,5.19,22.02,43.42,40.96,2.5,11.95,16.06,0.0,0.0,0.0,30.3,13.12,5.36,37.17,LEFT,50.4,42.1,8.3,bascule_probable
4101,18.72,39.85,5.95,35.22,4.6,31.97,7.42,26.84,30.83,34.59,18.86,15.04,20.72,0.0,0.0,0.0,34.16,15.53,6.91,38.09,CENTRE,44.3,43.5,0.8,rn_resistant
4102,21.34,5.44,20.16,53.06,0.0,26.43,17.28,38.02,19.8,28.78,31.66,19.39,15.08,0.0,0.0,0.0,22.86,14.03,6.82,49.47,FAR_RIGHT,30.2,61.5,-31.3,bastion_rn
4103,21.33,36.24,0.0,42.43,0.0,48.43,1.85,28.88,19.3,65.06,0.0,14.73,16.65,0.0,0.0,0.0,26.57,15.12,7.67,44.32,CENTRE,43.1,47.9,-4.8,rn_resistant
4201,41.48,23.72,2.83,31.97,24.15,29.14,0.0,23.0,33.97,50.96,0.0,13.4,29.18,0.0,0.0,0.0,40.84,12.7,6.22,36.24,LEFT,56.5,36.6,19.9,bastion_gauche
4202,46.53,26.34,0.0,27.13,7.15,27.82,8.61,20.43,31.88,38.75,14.21,13.64,32.58,0.0,0.0,0.0,46.66,12.26,6.71,30.03,LEFT,62.3,31.1,31.2,bastion_gauche
4203,30.0,29.11,0.0,40.89,4.71,27.84,14.52,28.4,23.83,55.3,2.23,17.26,20.49,0.0,0.0,0.0,31.53,12.96,7.14,43.65,CENTRE,47.5,45.3,2.2,bascule_possible
4204,28.48,0.0,30.72,40.8,5.3,16.84,25.81,27.03,23.95,30.44,27.88,17.33,20.96,0.0,0.0,0.0,31.14,11.9,6.84,45.09,RIGHT,37.1,52.5,-15.4,bastion_rn
4205,20.72,0.0,41.99,37.29,4.78,23.41,25.77,24.17,21.39,34.11,24.78,16.54,17.11,0.0,0.0,0.0,26.48,14.02,8.63,45.29,RIGHT,32.5,53.2,-20.7,bastion_rn
4206,19.43,12.45,27.81,40.31,1.16,26.43,25.36,26.19,16.25,37.44,26.08,19.11,15.11,0.0,0.0,0.0,25.67,14.37,8.94,45.57,RIGHT,34.7,52.7,-18.0,bastion_rn
4301,19.57,9.44,36.8,34.18,3.71,14.24,45.26,16.85,17.49,31.07,40.89,10.21,17.38,0.0,0.0,0.0,26.54,11.04,10.12,46.02,RIGHT,35.5,49.6,-14.1,bastion_rn
4302,20.97,8.26,38.69,32.08,3.48,11.54,45.68,17.34,21.0,27.45,41.9,8.29,19.13,0.0,0.0,0.0,27.46,11.64,11.46,41.68,RIGHT,36.8,48.0,-11.2,bastion_rn
4401,44.48,37.39,0.0,18.13,5.85,31.48,12.56,12.06,26.99,45.34,19.76,5.52,26.25,0.0,0.0,0.0,49.28,18.27,10.37,19.11,LEFT,66.9,23.7,43.2,bastion_gauche
4402,53.67,26.7,5.86,13.78,1.01,28.44,9.35,10.08,39.25,39.78,13.95,4.79,34.24,0.0,0.0,0.0,60.06,14.11,7.95,15.01,T1_WIN,71.3,20.0,51.3,bastion_gauche
4403,45.83,24.55,6.3,20.43,1.31,29.3,5.76,14.43,40.29,38.65,9.33,7.87,30.46,0.0,0.0,0.0,53.5,14.44,6.09,22.3,LEFT,62.3,26.5,35.8,bastion_gauche
4404,48.94,22.66,8.34,20.06,5.84,29.35,5.78,13.83,42.51,47.82,0.62,6.97,29.75,0.0,0.0,0.0,53.75,14.92,5.7,21.8,LEFT,64.9,26.6,38.3,bastion_gauche
4405,39.1,36.17,0.0,24.73,4.15,41.69,1.98,16.45,34.1,55.12,0.75,7.71,22.55,0.0,0.0,0.0,44.15,17.75,7.62,26.16,LEFT,60.8,30.2,30.6,bastion_gauche
4406,35.85,0.0,29.18,34.97,1.07,29.08,12.55,22.23,22.07,39.93,25.18,10.0,20.67,0.0,0.0,0.0,36.19,15.07,6.62,35.92,LEFT,44.0,46.1,-2.1,rn_resistant
4407,25.61,28.49,14.08,31.82,4.5,32.44,14.74,22.76,22.74,42.92,20.67,10.32,17.23,0.0,0.0,0.0,30.53,18.68,9.44,36.1,CENTRE,46.6,41.4,5.2,bascule_possible
4408,46.58,20.28,4.27,28.87,13.44,27.05,4.53,19.03,38.72,38.44,8.01,10.38,26.18,0.0,0.0,0.0,45.01,13.47,4.95,31.78,LEFT,59.9,33.5,26.4,bastion_gauche
4409,30.55,0.0,32.63,35.6,1.04,42.91,2.58,22.37,34.39,36.9,15.27,11.84,19.84,0.0,0.0,0.0,34.65,16.77,7.31,35.44,RIGHT,39.7,48.0,-8.3,bastion_rn
